RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,50,19,31,24.16,13,7,6,26.38,0,0,0,0,14,5000000,51,5,1600,5000000,5.1099999999999995e-05,20000000,1,0
2,53,19,34,24.06,14,8,6,26.14,0,0,0,0,14,5000000,51,5,1600,5000000,5.1099999999999995e-05,20000000,1,0
3,51,19,32,23.63,13,7,6,25.92,0,0,0,0,14,5000000,51,5,1600,5000000,5.1099999999999995e-05,20000000,1,0
4,47,19,28,23.94,14,8,6,26.57,0,0,0,0,14,5000000,51,5,1600,5000000,5.1099999999999995e-05,20000000,1,0
5,45,18,27,23.98,14,8,6,26.0,0,0,0,0,14,5000000,51,5,1600,5000000,5.1099999999999995e-05,20000000,1,0
6,53,20,33,24.66,12,6,6,26.5,0,0,0,0,14,5000000,51,5,1600,5000000,5.1099999999999995e-05,20000000,1,0
7,40,16,24,23.8,12,6,6,25.83,0,0,0,0,14,5000000,51,5,1600,5000000,5.1099999999999995e-05,20000000,1,0
8,46,19,27,24.35,13,7,6,26.38,0,0,0,0,14,5000000,51,5,1600,5000000,5.1099999999999995e-05,20000000,1,0
9,48,19,29,24.17,10,4,6,26.2,0,0,0,0,14,5000000,51,5,1600,5000000,5.1099999999999995e-05,20000000,1,0
10,50,20,30,24.32,12,6,6,26.0,0,0,0,0,14,5000000,51,5,1600,5000000,5.1099999999999995e-05,20000000,1,0
11,50,20,30,24.52,11,5,6,26.45,0,0,0,0,14,5000000,51,5,1600,5000000,5.1099999999999995e-05,20000000,1,0
12,45,17,28,24.64,12,6,6,26.33,0,0,0,0,14,5000000,51,5,1600,5000000,5.1099999999999995e-05,20000000,1,0
13,47,18,29,23.98,9,6,3,25.89,0,0,0,0,14,5000000,51,5,1600,5000000,5.1099999999999995e-05,20000000,1,0
14,46,16,30,24.52,9,6,3,26.78,0,0,0,0,14,5000000,51,5,1600,5000000,5.1099999999999995e-05,20000000,1,0
15,47,17,30,24.36,7,7,0,26.43,0,0,0,0,14,5000000,51,5,1600,5000000,5.1099999999999995e-05,20000000,1,0
16,46,16,30,23.96,7,7,0,25.86,0,0,0,0,14,5000000,51,5,1600,5000000,5.1099999999999995e-05,20000000,1,0
17,51,18,33,24.88,8,7,1,27.0,0,0,0,0,14,5000000,51,5,1600,5000000,5.1099999999999995e-05,20000000,1,0
18,51,18,33,24.14,7,7,0,26.14,0,0,0,0,14,5000000,51,5,1600,5000000,5.1099999999999995e-05,20000000,1,0
19,47,17,30,23.81,7,7,0,25.57,0,0,0,0,14,5000000,51,5,1600,5000000,5.1099999999999995e-05,20000000,1,0
20,48,18,30,24.17,7,7,0,25.86,0,0,0,0,14,5000000,51,5,1600,5000000,5.1099999999999995e-05,20000000,1,0
