RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput (bits),DL_goodput (bits),UL_throughput (bits),UL_goodput (bits),TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,160,148,12,21.69,90,79,11,23.24,22808,20816,27280,23648,2,2000000,51,5,640,2000000,5.34e-05,5000000,1,0
2,160,149,11,21.56,94,77,17,23.24,22392,20704,28016,22432,2,2000000,51,5,640,2000000,5.34e-05,5000000,1,0
3,160,148,12,21.87,95,77,18,23.99,22568,20696,29272,23336,2,2000000,51,5,640,2000000,5.34e-05,5000000,1,0
4,160,145,15,21.89,91,76,15,23.52,22200,20080,27648,22816,2,2000000,51,5,640,2000000,5.34e-05,5000000,1,0
5,160,147,13,21.71,89,78,11,23.6,21680,20224,27352,23688,2,2000000,51,5,640,2000000,5.34e-05,5000000,1,0
6,160,146,14,21.81,91,76,15,24.09,21928,20248,28528,23408,2,2000000,51,5,640,2000000,5.34e-05,5000000,1,0
7,160,143,17,21.94,94,76,18,23.7,22016,19752,28208,22672,2,2000000,51,5,640,2000000,5.34e-05,5000000,1,0
8,160,148,12,20.95,87,77,10,22.52,21240,19912,25648,22288,2,2000000,51,5,640,2000000,5.34e-05,5000000,1,0
9,160,148,12,21.72,94,77,17,23.46,22456,20752,28016,22656,2,2000000,51,5,640,2000000,5.34e-05,5000000,1,0
10,160,148,12,21.58,89,77,12,23.38,22136,20616,26808,23048,2,2000000,51,5,640,2000000,5.34e-05,5000000,1,0
11,160,149,11,21.69,92,78,14,23.41,22664,21048,27568,23200,2,2000000,51,5,640,2000000,5.34e-05,5000000,1,0
12,160,147,13,21.5,91,78,13,23.21,22592,20480,27496,23352,2,2000000,51,5,640,2000000,5.34e-05,5000000,1,0
13,160,148,12,21.71,89,74,15,23.99,22552,20712,27776,22736,2,2000000,51,5,640,2000000,5.34e-05,5000000,1,0
14,160,149,11,21.95,90,77,13,23.86,23592,21712,27480,23400,2,2000000,51,5,640,2000000,5.34e-05,5000000,1,0
15,160,149,11,21.63,90,75,15,23.46,22728,21032,27008,22096,2,2000000,51,5,640,2000000,5.34e-05,5000000,1,0
16,160,150,10,21.74,91,77,14,23.36,22472,20912,27216,22768,2,2000000,51,5,640,2000000,5.34e-05,5000000,1,0
17,160,150,10,22.03,91,76,15,23.84,23496,21784,27904,22912,2,2000000,51,5,640,2000000,5.34e-05,5000000,1,0
18,160,149,11,21.58,91,79,12,23.32,22288,20776,27456,23760,2,2000000,51,5,640,2000000,5.34e-05,5000000,1,0
19,160,149,11,21.9,91,76,15,23.63,23432,21312,27408,22720,2,2000000,51,5,640,2000000,5.34e-05,5000000,1,0
20,160,147,13,21.91,89,79,10,23.44,22672,20504,27232,23872,2,2000000,51,5,640,2000000,5.34e-05,5000000,1,0
