RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,157,119,38,24.44,47,33,14,26.4,105056,81744,41408,29040,4,5000000,51,5,960,5000000,6.36e-05,2000000,1,0
2,158,118,40,24.3,45,36,9,26.11,101584,76096,38272,30904,4,5000000,51,5,960,5000000,6.36e-05,2000000,1,0
3,155,118,37,24.26,50,36,14,26.32,110864,88416,40120,29704,4,5000000,51,5,960,5000000,6.36e-05,2000000,1,0
4,160,123,37,24.71,46,35,11,26.61,103752,78344,34856,27520,4,5000000,51,5,960,5000000,6.36e-05,2000000,1,0
5,159,121,38,24.19,48,36,12,26.08,102640,75104,38424,29328,4,5000000,51,5,960,5000000,6.36e-05,2000000,1,0
6,159,120,39,24.09,47,36,11,25.91,104256,76520,39432,29328,4,5000000,51,5,960,5000000,6.36e-05,2000000,1,0
7,159,122,37,24.22,49,33,16,26.14,105184,77152,40408,27392,4,5000000,51,5,960,5000000,6.36e-05,2000000,1,0
8,160,117,43,24.61,48,35,13,26.54,110456,76464,39592,28104,4,5000000,51,5,960,5000000,6.36e-05,2000000,1,0
9,158,119,39,24.48,52,34,18,26.42,116128,85400,44640,27752,4,5000000,51,5,960,5000000,6.36e-05,2000000,1,0
10,160,118,42,24.05,51,34,17,25.86,107760,75520,41776,27968,4,5000000,51,5,960,5000000,6.36e-05,2000000,1,0
11,159,117,42,24.76,49,33,16,26.76,107152,73752,41120,26944,4,5000000,51,5,960,5000000,6.36e-05,2000000,1,0
12,159,116,43,24.23,50,34,16,25.82,110248,75688,41184,27312,4,5000000,51,5,960,5000000,6.36e-05,2000000,1,0
13,160,118,42,23.8,47,35,12,25.64,109768,76584,39080,28040,4,5000000,51,5,960,5000000,6.36e-05,2000000,1,0
14,160,119,41,24.3,48,35,13,26.1,109576,78032,39880,27632,4,5000000,51,5,960,5000000,6.36e-05,2000000,1,0
15,159,118,41,23.86,47,35,12,26.04,108824,78952,38096,27864,4,5000000,51,5,960,5000000,6.36e-05,2000000,1,0
16,159,119,40,24.35,50,34,16,26.28,115520,83552,40080,27048,4,5000000,51,5,960,5000000,6.36e-05,2000000,1,0
17,160,114,46,24.36,49,35,14,26.31,102992,71040,40488,28048,4,5000000,51,5,960,5000000,6.36e-05,2000000,1,0
18,159,115,44,24.26,49,33,16,26.31,106656,73128,43864,28096,4,5000000,51,5,960,5000000,6.36e-05,2000000,1,0
19,159,115,44,24.28,49,34,15,26.35,106880,77216,43104,28864,4,5000000,51,5,960,5000000,6.36e-05,2000000,1,0
20,158,118,40,24.3,49,32,17,26.1,106616,80320,40256,26080,4,5000000,51,5,960,5000000,6.36e-05,2000000,1,0
