RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput (bits),DL_goodput (bits),UL_throughput (bits),UL_goodput (bits),TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,88,62,26,20.91,24,18,6,20.96,128312,84256,32712,27696,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,1,0
2,86,62,24,21.14,26,19,7,20.35,119480,81312,37136,28336,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,1,0
3,87,64,23,20.14,26,19,7,19.96,117472,81360,35616,27328,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,1,0
4,87,62,25,20.69,25,18,7,20.16,122816,83312,34824,26152,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,1,0
5,92,59,33,21.15,24,17,7,21.33,123600,81520,35272,26472,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,1,0
6,94,60,34,20.48,25,18,7,18.92,120752,77552,31712,22464,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,1,0
7,89,59,30,20.2,28,17,11,19.61,107264,73840,36440,19672,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,1,0
8,86,61,25,19.59,28,16,12,19.82,113384,77968,36784,19856,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,1,0
9,86,60,26,20.56,26,15,11,20.38,113552,79432,34984,19792,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,1,0
10,88,59,29,20.08,26,16,10,20.12,118504,76056,36944,21736,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,1,0
11,90,60,30,20.42,26,18,8,20.19,124536,80704,38888,24144,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,1,0
12,85,58,27,21.31,26,18,8,20.77,117408,79256,39656,24528,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,1,0
13,88,60,28,20.42,25,17,8,22.32,123920,80968,38840,25472,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,1,0
14,82,60,22,19.96,22,17,5,20.14,114712,77544,33056,24928,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,1,0
15,81,61,20,19.99,21,17,4,21.48,112968,76192,34352,27832,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,1,0
16,82,58,24,20.71,21,17,4,20.0,115720,75424,31384,24864,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,1,0
17,84,63,21,19.86,22,18,4,19.77,113304,80968,32096,25960,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,1,0
18,86,60,26,20.41,21,17,4,19.95,120000,79456,32016,25512,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,1,0
19,88,60,28,20.82,23,17,6,19.52,123400,80400,30360,25344,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,1,0
20,86,62,24,21.41,24,18,6,20.29,129512,85536,34272,27624,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,1,0
