RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,159,119,40,24.71,46,38,8,26.48,104584,75560,38128,31824,4,1000000,51,5,1500,1000000,5.8399999999999997e-05,20000000,1,0
2,156,117,39,23.6,47,39,8,25.51,117488,82784,37584,32080,4,1000000,51,5,1500,1000000,5.8399999999999997e-05,20000000,1,0
3,159,117,42,24.35,48,39,9,26.38,101616,76840,40520,32480,4,1000000,51,5,1500,1000000,5.8399999999999997e-05,20000000,1,0
4,158,113,45,23.82,48,38,10,25.71,95872,68992,35632,29440,4,1000000,51,5,1500,1000000,5.8399999999999997e-05,20000000,1,0
5,158,113,45,23.89,44,38,6,25.82,102000,74280,33056,28224,4,1000000,51,5,1500,1000000,5.8399999999999997e-05,20000000,1,0
6,158,116,42,24.57,48,39,9,26.46,114464,79272,38376,30304,4,1000000,51,5,1500,1000000,5.8399999999999997e-05,20000000,1,0
7,154,115,39,24.64,52,38,14,26.62,124024,85464,42032,29528,4,1000000,51,5,1500,1000000,5.8399999999999997e-05,20000000,1,0
8,154,114,40,23.77,49,37,12,25.65,106248,80320,41856,29992,4,1000000,51,5,1500,1000000,5.8399999999999997e-05,20000000,1,0
9,157,106,51,24.31,51,36,15,26.33,99984,67536,43080,30240,4,1000000,51,5,1500,1000000,5.8399999999999997e-05,20000000,1,0
10,156,112,44,24.01,50,38,12,25.88,106160,75672,43464,32352,4,1000000,51,5,1500,1000000,5.8399999999999997e-05,20000000,1,0
11,158,112,46,24.14,49,37,12,26.14,105000,71848,44456,32464,4,1000000,51,5,1500,1000000,5.8399999999999997e-05,20000000,1,0
12,156,112,44,23.94,51,38,13,25.67,103880,71456,44568,33216,4,1000000,51,5,1500,1000000,5.8399999999999997e-05,20000000,1,0
13,159,114,45,24.58,49,38,11,26.59,118584,75608,40344,30936,4,1000000,51,5,1500,1000000,5.8399999999999997e-05,20000000,1,0
14,158,109,49,24.69,47,37,10,26.53,110288,74584,39768,30888,4,1000000,51,5,1500,1000000,5.8399999999999997e-05,20000000,1,0
15,159,111,48,23.82,50,39,11,25.96,117784,74016,44216,33320,4,1000000,51,5,1500,1000000,5.8399999999999997e-05,20000000,1,0
16,158,114,44,24.06,50,38,12,25.96,117624,78672,41888,30864,4,1000000,51,5,1500,1000000,5.8399999999999997e-05,20000000,1,0
17,157,117,40,24.46,49,36,13,26.59,107560,79080,41176,29832,4,1000000,51,5,1500,1000000,5.8399999999999997e-05,20000000,1,0
18,157,117,40,24.04,51,37,14,26.1,105616,77488,45504,31608,4,1000000,51,5,1500,1000000,5.8399999999999997e-05,20000000,1,0
19,157,120,37,23.36,52,38,14,25.23,105624,80960,44320,31528,4,1000000,51,5,1500,1000000,5.8399999999999997e-05,20000000,1,0
20,155,123,32,24.1,46,36,10,26.0,109384,85888,39416,30368,4,1000000,51,5,1500,1000000,5.8399999999999997e-05,20000000,1,0
