RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput (bits),DL_goodput (bits),UL_throughput (bits),UL_goodput (bits),TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,50,24,26,21.78,13,4,9,24.85,0,0,0,0,14,25000000,51,5,1280,25000000,4.49e-05,10000000,1,0
2,43,23,20,20.63,14,5,9,23.5,0,0,0,0,14,25000000,51,5,1280,25000000,4.49e-05,10000000,1,0
3,44,24,20,20.3,14,5,9,23.93,0,0,0,0,14,25000000,51,5,1280,25000000,4.49e-05,10000000,1,0
4,45,24,21,20.4,10,4,6,21.4,0,0,0,0,14,25000000,51,5,1280,25000000,4.49e-05,10000000,1,0
5,46,24,22,21.17,14,5,9,22.29,0,0,0,0,14,25000000,51,5,1280,25000000,4.49e-05,10000000,1,0
6,49,21,28,22.0,14,5,9,22.86,0,0,0,0,14,25000000,51,5,1280,25000000,4.49e-05,10000000,1,0
7,44,23,21,21.11,14,5,9,22.57,0,0,0,0,14,25000000,51,5,1280,25000000,4.49e-05,10000000,1,0
8,43,21,22,21.65,14,5,9,22.64,0,0,0,0,14,25000000,51,5,1280,25000000,4.49e-05,10000000,1,0
9,52,23,29,21.75,10,4,6,23.1,0,0,0,0,14,25000000,51,5,1280,25000000,4.49e-05,10000000,1,0
10,52,23,29,22.23,12,4,8,23.42,0,0,0,0,14,25000000,51,5,1280,25000000,4.49e-05,10000000,1,0
11,49,23,26,22.27,10,4,6,23.7,0,0,0,0,14,25000000,51,5,1280,25000000,4.49e-05,10000000,1,0
12,53,19,34,22.75,10,4,6,23.7,0,0,0,0,14,25000000,51,5,1280,25000000,4.49e-05,10000000,1,0
13,51,22,29,21.98,11,5,6,23.45,0,0,0,0,14,25000000,51,5,1280,25000000,4.49e-05,10000000,1,0
14,53,22,31,22.26,7,4,3,22.29,0,0,0,0,14,25000000,51,5,1280,25000000,4.49e-05,10000000,1,0
15,48,22,26,22.12,7,4,3,22.86,0,0,0,0,14,25000000,51,5,1280,25000000,4.49e-05,10000000,1,0
16,51,22,29,21.92,7,4,3,21.71,0,0,0,0,14,25000000,51,5,1280,25000000,4.49e-05,10000000,1,0
17,48,23,25,22.85,7,4,3,22.86,0,0,0,0,14,25000000,51,5,1280,25000000,4.49e-05,10000000,1,0
18,49,22,27,22.02,9,3,6,23.11,0,0,0,0,14,25000000,51,5,1280,25000000,4.49e-05,10000000,1,0
19,42,22,20,22.52,10,4,6,24.1,0,0,0,0,14,25000000,51,5,1280,25000000,4.49e-05,10000000,1,0
20,47,20,27,21.98,6,3,3,26.0,0,0,0,0,14,25000000,51,5,1280,25000000,4.49e-05,10000000,1,0
