RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,281,162,119,22.59,173,91,82,21.69,45072,24704,46464,23568,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,1,0
2,284,168,116,21.99,167,91,76,21.1,45144,24920,43536,22512,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,1,0
3,282,167,115,22.39,175,95,80,21.54,44824,25216,47672,24456,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,1,0
4,280,160,120,22.89,167,88,79,22.1,43304,23824,45680,23016,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,1,0
5,285,163,122,22.6,176,91,85,22.11,42792,24088,48016,24464,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,1,0
6,288,168,120,22.41,170,91,79,22.22,52272,27008,45320,23944,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,1,0
7,279,154,125,22.87,172,89,83,21.77,43688,22632,43992,23152,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,1,0
8,283,156,127,22.11,179,96,83,21.04,40528,21808,46360,25448,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,1,0
9,281,154,127,22.79,169,92,77,21.62,41992,22680,43872,24392,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,1,0
10,278,165,113,23.04,160,90,70,21.53,46624,27288,41944,23632,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,1,0
11,284,172,112,22.76,172,91,81,21.59,46072,27096,44328,23664,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,1,0
12,283,162,121,22.62,169,94,75,21.88,48072,25560,44080,24312,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,1,0
13,279,173,106,23.09,167,87,80,22.03,48144,28088,44480,22656,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,1,0
14,284,172,112,22.79,162,90,72,22.36,45624,26032,43536,23512,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,1,0
15,287,168,119,22.05,157,89,68,21.13,47304,25336,41864,22736,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,1,0
16,281,161,120,22.77,165,94,71,21.12,43616,23904,43432,23656,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,1,0
17,281,158,123,22.7,164,86,78,21.52,41048,22256,44944,21752,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,1,0
18,277,161,116,22.96,158,89,69,21.3,41024,22944,42096,22272,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,1,0
19,279,159,120,22.98,169,88,81,21.79,43840,23528,45088,22544,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,1,0
20,287,168,119,22.48,166,87,79,21.89,45920,26064,44648,22288,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,1,0
