RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,166,86,80,21.12,51,22,29,19.69,242128,106936,66128,25944,7,25000000,51,10,2400,25000000,7.73e-05,1000000,1,0
2,164,83,81,21.99,54,25,29,20.19,248328,105504,68872,33560,7,25000000,51,10,2400,25000000,7.73e-05,1000000,1,0
3,168,85,83,21.42,46,25,21,20.54,251200,107376,71856,36056,7,25000000,51,10,2400,25000000,7.73e-05,1000000,1,0
4,164,79,85,21.9,51,25,26,20.39,246920,101656,69208,32912,7,25000000,51,10,2400,25000000,7.73e-05,1000000,1,0
5,167,80,87,21.74,50,25,25,18.88,247424,105160,67664,30896,7,25000000,51,10,2400,25000000,7.73e-05,1000000,1,0
6,168,83,85,21.97,53,22,31,20.58,248600,107880,63376,28128,7,25000000,51,10,2400,25000000,7.73e-05,1000000,1,0
7,172,83,89,21.73,51,24,27,18.98,260120,109032,51056,30408,7,25000000,51,10,2400,25000000,7.73e-05,1000000,1,0
8,165,82,83,21.75,47,25,22,18.28,247808,107208,50624,33024,7,25000000,51,10,2400,25000000,7.73e-05,1000000,1,0
9,172,85,87,21.67,46,22,24,19.57,259856,110536,51496,29320,7,25000000,51,10,2400,25000000,7.73e-05,1000000,1,0
10,178,80,98,21.84,48,23,25,19.58,255088,101728,58024,34032,7,25000000,51,10,2400,25000000,7.73e-05,1000000,1,0
11,178,84,94,22.1,47,22,25,19.19,252656,110808,52016,30232,7,25000000,51,10,2400,25000000,7.73e-05,1000000,1,0
12,174,83,91,21.47,44,21,23,18.57,227800,103624,48664,28896,7,25000000,51,10,2400,25000000,7.73e-05,1000000,1,0
13,163,82,81,21.52,43,22,21,18.67,219208,103072,48088,28096,7,25000000,51,10,2400,25000000,7.73e-05,1000000,1,0
14,166,84,82,21.6,51,23,28,19.96,221168,110016,55824,26280,7,25000000,51,10,2400,25000000,7.73e-05,1000000,1,0
15,160,88,72,20.62,51,22,29,20.12,216424,111192,62000,26688,7,25000000,51,10,2400,25000000,7.73e-05,1000000,1,0
16,155,86,69,21.21,46,21,25,20.26,230856,116256,59448,28688,7,25000000,51,10,2400,25000000,7.73e-05,1000000,1,0
17,157,89,68,20.78,49,23,26,20.33,221456,114840,69816,31376,7,25000000,51,10,2400,25000000,7.73e-05,1000000,1,0
18,155,92,63,20.77,47,24,23,20.89,221432,117760,70896,33664,7,25000000,51,10,2400,25000000,7.73e-05,1000000,1,0
19,164,88,76,21.88,46,24,22,20.85,241312,113696,67568,32888,7,25000000,51,10,2400,25000000,7.73e-05,1000000,1,0
20,165,86,79,21.28,50,24,26,20.66,247712,106584,68272,32264,7,25000000,51,10,2400,25000000,7.73e-05,1000000,1,0
