RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,54,26,28,23.67,8,5,3,25.75,0,0,0,0,14,25000000,51,5,1250,25000000,3.5499999999999996e-05,5000000,1,0
2,50,25,25,24.56,7,4,3,26.71,0,0,0,0,14,25000000,51,5,1250,25000000,3.5499999999999996e-05,5000000,1,0
3,51,24,27,23.67,8,5,3,26.25,0,0,0,0,14,25000000,51,5,1250,25000000,3.5499999999999996e-05,5000000,1,0
4,49,24,25,24.14,9,5,4,26.56,0,0,0,0,14,25000000,51,5,1250,25000000,3.5499999999999996e-05,5000000,1,0
5,48,25,23,24.42,9,5,4,26.33,0,0,0,0,14,25000000,51,5,1250,25000000,3.5499999999999996e-05,5000000,1,0
6,46,23,23,24.3,12,5,7,26.17,0,0,0,0,14,25000000,51,5,1250,25000000,3.5499999999999996e-05,5000000,1,0
7,52,26,26,24.77,8,4,4,26.75,0,0,0,0,14,25000000,51,5,1250,25000000,3.5499999999999996e-05,5000000,1,0
8,46,25,21,24.52,10,4,6,26.6,0,0,0,0,14,25000000,51,5,1250,25000000,3.5499999999999996e-05,5000000,1,0
9,48,26,22,24.21,11,4,7,26.27,0,0,0,0,14,25000000,51,5,1250,25000000,3.5499999999999996e-05,5000000,1,0
10,51,26,25,24.45,9,4,5,26.33,0,0,0,0,14,25000000,51,5,1250,25000000,3.5499999999999996e-05,5000000,1,0
11,51,27,24,24.02,12,5,7,25.83,0,0,0,0,14,25000000,51,5,1250,25000000,3.5499999999999996e-05,5000000,1,0
12,50,23,27,25.28,8,4,4,27.0,0,0,0,0,14,25000000,51,5,1250,25000000,3.5499999999999996e-05,5000000,1,0
13,49,26,23,24.43,12,5,7,26.33,0,0,0,0,14,25000000,51,5,1250,25000000,3.5499999999999996e-05,5000000,1,0
14,49,27,22,24.37,14,5,9,26.43,0,0,0,0,14,25000000,51,5,1250,25000000,3.5499999999999996e-05,5000000,1,0
15,46,27,19,24.52,15,5,10,26.87,0,0,0,0,14,25000000,51,5,1250,25000000,3.5499999999999996e-05,5000000,1,0
16,43,26,17,24.35,15,5,10,26.73,0,0,0,0,14,25000000,51,5,1250,25000000,3.5499999999999996e-05,5000000,1,0
17,40,27,13,23.55,10,4,6,26.4,0,0,0,0,14,25000000,51,5,1250,25000000,3.5499999999999996e-05,5000000,1,0
18,47,27,20,23.89,10,4,6,26.4,0,0,0,0,14,25000000,51,5,1250,25000000,3.5499999999999996e-05,5000000,1,0
19,51,25,26,24.22,10,4,6,26.0,0,0,0,0,14,25000000,51,5,1250,25000000,3.5499999999999996e-05,5000000,1,0
20,55,28,27,24.93,10,4,6,26.6,0,0,0,0,14,25000000,51,5,1250,25000000,3.5499999999999996e-05,5000000,1,0
