RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,152,87,65,18.6,80,44,36,19.86,19016,9448,20920,10384,2,5000000,51,5,3200,5000000,8.29e-05,5000000,1,0
2,142,82,60,18.97,78,45,33,18.9,16744,8872,18728,10296,2,5000000,51,5,3200,5000000,8.29e-05,5000000,1,0
3,145,86,59,19.12,76,43,33,20.74,17624,9336,20360,10256,2,5000000,51,5,3200,5000000,8.29e-05,5000000,1,0
4,143,75,68,19.84,78,43,35,19.54,17128,8464,20256,10520,2,5000000,51,5,3200,5000000,8.29e-05,5000000,1,0
5,146,80,66,19.03,77,43,34,19.48,19848,9464,19616,9864,2,5000000,51,5,3200,5000000,8.29e-05,5000000,1,0
6,147,85,62,18.9,83,44,39,20.06,17328,9600,21432,10536,2,5000000,51,5,3200,5000000,8.29e-05,5000000,1,0
7,147,83,64,19.09,77,47,30,19.43,19928,9840,19824,11160,2,5000000,51,5,3200,5000000,8.29e-05,5000000,1,0
8,151,86,65,19.28,81,45,36,19.84,23160,11944,20896,10376,2,5000000,51,5,3200,5000000,8.29e-05,5000000,1,0
9,141,82,59,20.37,84,45,39,20.52,19248,10440,22184,10832,2,5000000,51,5,3200,5000000,8.29e-05,5000000,1,0
10,144,82,62,19.13,78,44,34,19.72,19088,10080,19968,10832,2,5000000,51,5,3200,5000000,8.29e-05,5000000,1,0
11,150,90,60,19.57,74,44,30,19.92,21056,10880,19520,10920,2,5000000,51,5,3200,5000000,8.29e-05,5000000,1,0
12,143,88,55,19.61,75,45,30,19.01,22296,11728,18632,10880,2,5000000,51,5,3200,5000000,8.29e-05,5000000,1,0
13,154,94,60,18.91,87,45,42,19.68,20560,11960,21536,11200,2,5000000,51,5,3200,5000000,8.29e-05,5000000,1,0
14,148,86,62,19.16,66,46,20,18.7,20184,10840,16128,11080,2,5000000,51,5,3200,5000000,8.29e-05,5000000,1,0
15,134,81,53,20.92,72,44,28,20.51,21688,11600,18480,10752,2,5000000,51,5,3200,5000000,8.29e-05,5000000,1,0
16,139,78,61,20.84,72,43,29,20.62,18824,10176,18648,10800,2,5000000,51,5,3200,5000000,8.29e-05,5000000,1,0
17,144,86,58,18.78,71,44,27,19.24,18024,10144,18024,10784,2,5000000,51,5,3200,5000000,8.29e-05,5000000,1,0
18,149,85,64,19.44,70,41,29,20.23,19256,10112,18664,10616,2,5000000,51,5,3200,5000000,8.29e-05,5000000,1,0
19,148,89,59,18.72,80,44,36,20.64,18696,10456,21152,10712,2,5000000,51,5,3200,5000000,8.29e-05,5000000,1,0
20,149,87,62,19.03,72,44,28,19.51,19032,10144,18344,10760,2,5000000,51,5,3200,5000000,8.29e-05,5000000,1,0
