RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput (bits),DL_goodput (bits),UL_throughput (bits),UL_goodput (bits),TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,88,71,17,19.6,23,18,5,19.09,125288,94264,30936,26440,7,10000000,51,5,1500,10000000,8.099999999999999e-06,2000000,1,0
2,90,72,18,19.78,26,18,8,21.19,126312,93480,36744,27424,7,10000000,51,5,1500,10000000,8.099999999999999e-06,2000000,1,0
3,87,71,16,18.52,25,17,8,21.36,113800,87808,34800,24776,7,10000000,51,5,1500,10000000,8.099999999999999e-06,2000000,1,0
4,88,70,18,19.55,24,18,6,20.71,123880,89216,34792,26568,7,10000000,51,5,1500,10000000,8.099999999999999e-06,2000000,1,0
5,93,71,22,19.83,26,19,7,20.31,131696,90576,36240,27824,7,10000000,51,5,1500,10000000,8.099999999999999e-06,2000000,1,0
6,99,71,28,19.66,26,19,7,19.08,134968,88680,34344,25928,7,10000000,51,5,1500,10000000,8.099999999999999e-06,2000000,1,0
7,96,72,24,20.22,24,17,7,20.17,138248,94864,33152,24352,7,10000000,51,5,1500,10000000,8.099999999999999e-06,2000000,1,0
8,94,66,28,20.33,24,17,7,18.54,136184,84688,30656,21856,7,10000000,51,5,1500,10000000,8.099999999999999e-06,2000000,1,0
9,95,69,26,19.88,30,19,11,19.13,131048,85016,38648,24136,7,10000000,51,5,1500,10000000,8.099999999999999e-06,2000000,1,0
10,95,68,27,19.72,25,17,8,19.84,124928,82168,35112,21816,7,10000000,51,5,1500,10000000,8.099999999999999e-06,2000000,1,0
11,96,69,27,20.27,25,18,7,20.36,128992,87344,37008,24416,7,10000000,51,5,1500,10000000,8.099999999999999e-06,2000000,1,0
12,91,72,19,19.16,25,18,7,20.28,121488,88424,36880,24288,7,10000000,51,5,1500,10000000,8.099999999999999e-06,2000000,1,0
13,92,73,19,19.09,24,17,7,21.12,123656,90112,37520,24544,7,10000000,51,5,1500,10000000,8.099999999999999e-06,2000000,1,0
14,90,71,19,19.53,25,18,7,20.32,120120,90512,36344,25000,7,10000000,51,5,1500,10000000,8.099999999999999e-06,2000000,1,0
15,88,68,20,18.85,21,17,4,20.1,114368,83200,31448,24928,7,10000000,51,5,1500,10000000,8.099999999999999e-06,2000000,1,0
16,89,70,19,19.85,22,18,4,20.82,123344,91632,31808,25288,7,10000000,51,5,1500,10000000,8.099999999999999e-06,2000000,1,0
17,89,71,18,19.35,23,17,6,20.65,119528,90256,35000,24816,7,10000000,51,5,1500,10000000,8.099999999999999e-06,2000000,1,0
18,88,71,17,19.57,25,17,8,21.84,121712,91464,43392,26816,7,10000000,51,5,1500,10000000,8.099999999999999e-06,2000000,1,0
19,86,71,15,20.02,25,17,8,20.28,124888,96392,34792,25472,7,10000000,51,5,1500,10000000,8.099999999999999e-06,2000000,1,0
20,89,72,17,19.52,26,18,8,20.15,124880,94032,38352,27656,7,10000000,51,5,1500,10000000,8.099999999999999e-06,2000000,1,0
