RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,169,63,106,20.91,50,14,36,22.1,214040,59656,51800,15248,7,2000000,51,10,3840,2000000,4.37e-05,2000000,1,0
2,173,59,114,21.55,49,13,36,21.43,209296,57696,50832,13800,7,2000000,51,10,3840,2000000,4.37e-05,2000000,1,0
3,170,60,110,20.91,47,13,34,21.72,208208,57448,50728,14232,7,2000000,51,10,3840,2000000,4.37e-05,2000000,1,0
4,178,63,115,21.41,49,13,36,21.84,216016,57568,52432,14200,7,2000000,51,10,3840,2000000,4.37e-05,2000000,1,0
5,173,64,109,20.94,49,13,36,20.59,206360,57048,49424,13448,7,2000000,51,10,3840,2000000,4.37e-05,2000000,1,0
6,180,63,117,21.64,44,12,32,22.25,222840,61472,48328,13576,7,2000000,51,10,3840,2000000,4.37e-05,2000000,1,0
7,163,61,102,21.33,46,14,32,20.5,207648,58128,45432,13032,7,2000000,51,10,3840,2000000,4.37e-05,2000000,1,0
8,172,60,112,21.09,46,13,33,19.83,199568,55472,43872,11776,7,2000000,51,10,3840,2000000,4.37e-05,2000000,1,0
9,169,63,106,21.02,48,14,34,19.65,211688,58592,46520,14344,7,2000000,51,10,3840,2000000,4.37e-05,2000000,1,0
10,165,62,103,20.93,45,14,31,20.47,203280,56888,42968,13320,7,2000000,51,10,3840,2000000,4.37e-05,2000000,1,0
11,167,59,108,20.82,46,14,32,20.98,192912,53368,47416,14048,7,2000000,51,10,3840,2000000,4.37e-05,2000000,1,0
12,168,58,110,21.54,42,12,30,21.0,203520,53200,41488,11616,7,2000000,51,10,3840,2000000,4.37e-05,2000000,1,0
13,166,63,103,20.99,48,14,34,20.71,204472,55872,46752,14008,7,2000000,51,10,3840,2000000,4.37e-05,2000000,1,0
14,181,63,118,21.02,44,13,31,20.61,211336,56320,43904,13040,7,2000000,51,10,3840,2000000,4.37e-05,2000000,1,0
15,178,62,116,21.3,41,11,30,20.78,212416,55592,40080,11112,7,2000000,51,10,3840,2000000,4.37e-05,2000000,1,0
16,168,63,105,20.42,44,13,31,22.2,197464,52600,51856,14784,7,2000000,51,10,3840,2000000,4.37e-05,2000000,1,0
17,168,63,105,21.1,42,13,29,22.02,213240,58952,46416,14872,7,2000000,51,10,3840,2000000,4.37e-05,2000000,1,0
18,169,63,106,20.92,46,14,32,22.46,208624,57104,54376,16856,7,2000000,51,10,3840,2000000,4.37e-05,2000000,1,0
19,169,59,110,21.37,50,14,36,20.52,194816,53440,46584,14352,7,2000000,51,10,3840,2000000,4.37e-05,2000000,1,0
20,174,61,113,21.13,41,11,30,21.51,216864,57904,47856,13056,7,2000000,51,10,3840,2000000,4.37e-05,2000000,1,0
