RNTIs_DL,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL
1,205,79,126,5,196,82,114,5
2,207,81,126,5,196,82,114,5
3,206,80,126,5,199,82,117,5
4,202,79,123,5,202,82,120,5
5,204,78,126,5,202,82,120,5
6,218,80,138,5,196,82,114,5
7,206,80,126,5,196,82,114,5
8,210,81,129,5,198,82,116,5
9,216,81,135,5,198,82,116,5
10,204,81,123,5,198,82,116,5
11,195,81,114,5,201,82,119,5
12,198,81,117,5,201,82,119,5
13,192,81,111,5,201,82,119,5
14,192,81,111,5,198,82,116,5
15,201,81,120,5,198,82,116,5
16,198,81,117,5,201,82,119,5
17,203,80,123,5,201,82,119,5
18,201,81,120,5,201,81,120,5
19,194,80,114,5,200,80,120,5
20,199,80,119,5,204,81,123,5
21,203,81,122,5,198,81,117,5
22,202,80,122,5,198,81,117,5
23,211,80,131,5,198,81,117,5
24,205,80,125,5,201,81,120,5
25,200,81,119,5,204,81,123,5
26,196,80,116,5,198,81,117,5
27,188,81,107,5,197,80,117,5
28,190,80,110,5,199,81,118,5
29,198,81,117,5,199,81,118,5
30,204,81,123,5,196,81,115,5
31,210,81,129,5,202,81,121,5
32,203,80,123,5,201,80,121,5
33,197,80,117,5,199,81,118,5
34,219,81,138,5,199,81,118,5
35,204,81,123,5,199,81,118,5
36,207,81,126,5,199,81,118,5
37,227,80,147,5,199,81,118,5
38,224,80,144,5,201,81,120,5
39,209,81,128,5,201,81,120,5
40,197,81,116,5,201,81,120,5
41,187,81,106,5,198,81,117,5
42,190,81,109,5,195,81,114,5
43,192,80,112,5,195,81,114,5
44,184,81,103,5,195,81,114,5
45,187,81,106,5,198,81,117,5
46,184,81,103,5,198,81,117,5
47,172,81,91,5,201,81,120,5
48,175,81,94,5,198,81,117,5
49,186,80,106,5,198,81,117,5
50,198,80,118,5,198,81,117,5
