RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,81,71,10,14.67,30,26,4,13.03,87592,74184,29784,25352,7,5000000,51,5,1000,5000000,8.9e-06,20000000,1,0
2,83,75,8,13.69,31,27,4,12.87,85968,76576,30808,26376,7,5000000,51,5,1000,5000000,8.9e-06,20000000,1,0
3,82,75,7,13.67,31,25,6,13.61,83912,75472,31904,23552,7,5000000,51,5,1000,5000000,8.9e-06,20000000,1,0
4,83,75,8,13.51,29,26,3,10.79,83032,73248,22944,21208,7,5000000,51,5,1000,5000000,8.9e-06,20000000,1,0
5,82,77,5,13.12,29,27,2,11.0,80744,74776,23712,23584,7,5000000,51,5,1000,5000000,8.9e-06,20000000,1,0
6,82,75,7,13.95,28,27,1,11.43,84008,75296,23488,23424,7,5000000,51,5,1000,5000000,8.9e-06,20000000,1,0
7,82,76,6,13.2,29,27,2,12.0,82400,76784,25496,23280,7,5000000,51,5,1000,5000000,8.9e-06,20000000,1,0
8,83,76,7,13.25,27,27,0,10.81,83160,76104,21656,21656,7,5000000,51,5,1000,5000000,8.9e-06,20000000,1,0
9,82,75,7,13.32,27,27,0,10.41,82344,74232,21480,21480,7,5000000,51,5,1000,5000000,8.9e-06,20000000,1,0
10,82,75,7,13.91,26,26,0,11.27,86008,78888,21560,21560,7,5000000,51,5,1000,5000000,8.9e-06,20000000,1,0
11,85,71,14,13.99,26,26,0,11.04,88080,72432,21552,21552,7,5000000,51,5,1000,5000000,8.9e-06,20000000,1,0
12,85,76,9,13.42,26,25,1,12.15,86096,78672,24464,22440,7,5000000,51,5,1000,5000000,8.9e-06,20000000,1,0
13,82,72,10,13.57,27,26,1,11.7,82360,72816,24344,22320,7,5000000,51,5,1000,5000000,8.9e-06,20000000,1,0
14,82,71,11,13.76,26,25,1,13.04,84656,73040,25544,23392,7,5000000,51,5,1000,5000000,8.9e-06,20000000,1,0
15,82,73,9,14.91,27,25,2,12.93,85152,75440,26240,24024,7,5000000,51,5,1000,5000000,8.9e-06,20000000,1,0
16,80,72,8,14.35,28,25,3,14.0,86696,77792,29752,25640,7,5000000,51,5,1000,5000000,8.9e-06,20000000,1,0
17,83,74,9,14.11,29,25,4,12.79,86368,76752,28992,24560,7,5000000,51,5,1000,5000000,8.9e-06,20000000,1,0
18,84,74,10,13.64,28,23,5,14.86,83360,71824,32448,24160,7,5000000,51,5,1000,5000000,8.9e-06,20000000,1,0
19,84,75,9,13.26,30,25,5,14.07,83416,73336,32048,25464,7,5000000,51,5,1000,5000000,8.9e-06,20000000,1,0
20,80,74,6,13.78,28,25,3,13.07,83120,74544,27560,25408,7,5000000,51,5,1000,5000000,8.9e-06,20000000,1,0
