RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,92,73,19,24.17,27,21,6,25.96,158256,125080,50456,39176,7,2000000,51,5,1000,2000000,4e-07,5000000,1,0
2,92,72,20,24.07,25,22,3,26.12,157608,120792,45952,39880,7,2000000,51,5,1000,2000000,4e-07,5000000,1,0
3,95,74,21,24.18,25,22,3,26.44,162992,124728,49224,42768,7,2000000,51,5,1000,2000000,4e-07,5000000,1,0
4,94,71,23,24.68,24,21,3,26.83,167016,121872,46496,40040,7,2000000,51,5,1000,2000000,4e-07,5000000,1,0
5,98,73,25,24.16,24,21,3,26.25,168440,122520,45952,39496,7,2000000,51,5,1000,2000000,4e-07,5000000,1,0
6,93,72,21,24.05,24,21,3,26.17,162312,122216,43808,38984,7,2000000,51,5,1000,2000000,4e-07,5000000,1,0
7,94,69,25,24.36,21,21,0,26.14,163256,117544,40320,40320,7,2000000,51,5,1000,2000000,4e-07,5000000,1,0
8,96,72,24,24.69,21,21,0,26.71,170896,124600,40832,40832,7,2000000,51,5,1000,2000000,4e-07,5000000,1,0
9,92,71,21,24.33,24,21,3,26.42,160696,121280,48224,41768,7,2000000,51,5,1000,2000000,4e-07,5000000,1,0
10,94,73,21,24.49,22,19,3,26.55,164656,124880,44240,37784,7,2000000,51,5,1000,2000000,4e-07,5000000,1,0
11,91,70,21,24.03,24,21,3,26.25,155384,117088,47168,40712,7,2000000,51,5,1000,2000000,4e-07,5000000,1,0
12,92,70,22,24.3,24,21,3,26.17,158960,117456,47968,41512,7,2000000,51,5,1000,2000000,4e-07,5000000,1,0
13,96,70,26,24.48,24,21,3,26.5,163872,116920,49664,43208,7,2000000,51,5,1000,2000000,4e-07,5000000,1,0
14,97,73,24,24.49,27,21,6,26.56,163296,122840,56600,44072,7,2000000,51,5,1000,2000000,4e-07,5000000,1,0
15,94,74,20,23.91,27,21,6,26.04,155848,122592,55928,43016,7,2000000,51,5,1000,2000000,4e-07,5000000,1,0
16,91,73,18,24.87,27,21,6,26.78,155744,127040,56760,43848,7,2000000,51,5,1000,2000000,4e-07,5000000,1,0
17,91,72,19,23.88,27,21,6,25.89,149008,118264,53656,41128,7,2000000,51,5,1000,2000000,4e-07,5000000,1,0
18,86,72,14,23.72,27,21,6,25.74,142160,119984,51792,39264,7,2000000,51,5,1000,2000000,4e-07,5000000,1,0
19,89,72,17,24.46,26,20,6,26.54,154400,124784,50960,38432,7,2000000,51,5,1000,2000000,4e-07,5000000,1,0
20,93,73,20,24.68,26,20,6,26.54,162400,126808,52688,39776,7,2000000,51,5,1000,2000000,4e-07,5000000,1,0
