RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,160,151,9,24.69,90,76,14,26.53,24784,23552,30928,26160,2,25000000,51,5,750,25000000,2.04e-05,20000000,1,0
2,160,148,12,23.05,89,77,12,24.75,22944,21416,28976,25040,2,25000000,51,5,750,25000000,2.04e-05,20000000,1,0
3,160,150,10,24.15,91,76,15,26.1,24904,23336,30768,25728,2,25000000,51,5,750,25000000,2.04e-05,20000000,1,0
4,160,148,12,24.05,92,77,15,25.89,24256,22488,30400,25648,2,25000000,51,5,750,25000000,2.04e-05,20000000,1,0
5,160,152,8,24.4,94,78,16,26.32,25104,23760,31600,26400,2,25000000,51,5,750,25000000,2.04e-05,20000000,1,0
6,160,150,10,23.8,89,78,11,25.7,24120,22568,29680,26144,2,25000000,51,5,750,25000000,2.04e-05,20000000,1,0
7,160,148,12,24.62,93,79,14,26.55,25672,23144,31824,27136,2,25000000,51,5,750,25000000,2.04e-05,20000000,1,0
8,160,148,12,23.8,89,79,10,25.65,24632,22248,29536,26400,2,25000000,51,5,750,25000000,2.04e-05,20000000,1,0
9,160,148,12,24.14,84,77,7,26.07,24920,22536,28224,25984,2,25000000,51,5,750,25000000,2.04e-05,20000000,1,0
10,160,148,12,24.05,88,78,10,25.84,25248,22864,29408,26160,2,25000000,51,5,750,25000000,2.04e-05,20000000,1,0
11,160,148,12,24.18,86,76,10,26.16,25016,23032,28416,25600,2,25000000,51,5,750,25000000,2.04e-05,20000000,1,0
12,160,151,9,24.55,88,76,12,26.22,25440,24088,29376,25632,2,25000000,51,5,750,25000000,2.04e-05,20000000,1,0
13,160,151,9,24.41,86,76,10,26.4,25176,23744,29168,25968,2,25000000,51,5,750,25000000,2.04e-05,20000000,1,0
14,160,151,9,24.49,92,77,15,26.38,26544,25144,30992,26192,2,25000000,51,5,750,25000000,2.04e-05,20000000,1,0
15,160,154,6,24.03,92,79,13,26.09,24816,23968,30864,26672,2,25000000,51,5,750,25000000,2.04e-05,20000000,1,0
16,160,154,6,24.42,92,75,17,26.3,25040,24272,30992,25488,2,25000000,51,5,750,25000000,2.04e-05,20000000,1,0
17,160,153,7,24.28,91,74,17,26.3,24576,23864,30512,25088,2,25000000,51,5,750,25000000,2.04e-05,20000000,1,0
18,160,153,7,23.87,90,77,13,25.84,23816,23176,30032,25744,2,25000000,51,5,750,25000000,2.04e-05,20000000,1,0
19,160,147,13,24.59,94,74,20,26.53,24792,22984,31440,25040,2,25000000,51,5,750,25000000,2.04e-05,20000000,1,0
20,160,147,13,24.64,91,76,15,26.45,24592,22880,30960,25968,2,25000000,51,5,750,25000000,2.04e-05,20000000,1,0
