RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,160,141,19,21.81,87,70,17,23.25,23736,20616,24976,20656,2,0,51,5,1280,0,1.9900000000000003e-05,2000000,1,0
2,160,142,18,21.34,84,69,15,22.61,22992,20344,23680,19936,2,0,51,5,1280,0,1.9900000000000003e-05,2000000,1,0
3,160,140,20,21.62,86,68,18,23.3,23016,20152,24880,20008,2,0,51,5,1280,0,1.9900000000000003e-05,2000000,1,0
4,160,141,19,21.6,87,70,17,22.91,22216,19168,24664,20256,2,0,51,5,1280,0,1.9900000000000003e-05,2000000,1,0
5,160,143,17,21.8,85,67,18,22.96,21728,19528,24200,19328,2,0,51,5,1280,0,1.9900000000000003e-05,2000000,1,0
6,160,143,17,21.84,85,69,16,23.24,23144,20728,24800,20440,2,0,51,5,1280,0,1.9900000000000003e-05,2000000,1,0
7,160,141,19,22.07,90,69,21,23.27,22408,19768,25424,20416,2,0,51,5,1280,0,1.9900000000000003e-05,2000000,1,0
8,160,144,16,21.32,83,67,16,22.96,22848,20672,24008,19696,2,0,51,5,1280,0,1.9900000000000003e-05,2000000,1,0
9,160,143,17,22.24,92,69,23,23.63,25056,21304,26272,20432,2,0,51,5,1280,0,1.9900000000000003e-05,2000000,1,0
10,160,145,15,21.66,91,68,23,22.9,22888,20392,25200,19584,2,0,51,5,1280,0,1.9900000000000003e-05,2000000,1,0
11,160,146,14,21.61,89,67,22,23.15,22864,20336,24600,19480,2,0,51,5,1280,0,1.9900000000000003e-05,2000000,1,0
12,160,143,17,22.2,87,67,20,23.21,23064,20176,25240,19552,2,0,51,5,1280,0,1.9900000000000003e-05,2000000,1,0
13,160,140,20,21.99,92,68,24,23.36,21968,19256,26352,19792,2,0,51,5,1280,0,1.9900000000000003e-05,2000000,1,0
14,160,140,20,22.1,90,66,24,23.94,22552,19672,26960,20064,2,0,51,5,1280,0,1.9900000000000003e-05,2000000,1,0
15,160,136,24,21.68,90,66,24,23.12,21800,18576,26080,19232,2,0,51,5,1280,0,1.9900000000000003e-05,2000000,1,0
16,160,133,27,22.11,92,65,27,23.92,22808,18744,26624,19208,2,0,51,5,1280,0,1.9900000000000003e-05,2000000,1,0
17,160,135,25,21.56,92,64,28,23.46,21136,18040,26344,18584,2,0,51,5,1280,0,1.9900000000000003e-05,2000000,1,0
18,160,137,23,21.78,89,65,24,23.53,22392,19152,25296,18848,2,0,51,5,1280,0,1.9900000000000003e-05,2000000,1,0
19,160,138,22,21.71,92,67,25,23.76,22680,19288,26816,19848,2,0,51,5,1280,0,1.9900000000000003e-05,2000000,1,0
20,160,138,22,21.96,86,67,19,23.62,22320,18976,25064,19944,2,0,51,5,1280,0,1.9900000000000003e-05,2000000,1,0
