RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,83,55,28,20.78,25,18,7,19.96,112368,71472,35080,26664,7,2000000,51,5,1500,2000000,1.6e-05,20000000,1,0
2,86,56,30,20.36,26,19,7,18.85,105544,72896,34624,25824,7,2000000,51,5,1500,2000000,1.6e-05,20000000,1,0
3,84,57,27,19.98,27,19,8,20.26,105832,72808,33928,25608,7,2000000,51,5,1500,2000000,1.6e-05,20000000,1,0
4,85,56,29,20.38,25,18,7,19.72,100464,70464,32768,26440,7,2000000,51,5,1500,2000000,1.6e-05,20000000,1,0
5,81,54,27,20.58,24,18,6,19.67,96768,68880,32656,26008,7,2000000,51,5,1500,2000000,1.6e-05,20000000,1,0
6,82,55,27,19.78,24,18,6,18.21,93536,68800,29784,23520,7,2000000,51,5,1500,2000000,1.6e-05,20000000,1,0
7,88,51,37,20.33,28,18,10,19.89,97216,65080,35152,23616,7,2000000,51,5,1500,2000000,1.6e-05,20000000,1,0
8,86,51,35,20.97,22,18,4,19.45,104832,66784,31352,24832,7,2000000,51,5,1500,2000000,1.6e-05,20000000,1,0
9,90,53,37,20.56,26,19,7,18.15,109720,67392,31208,24496,7,2000000,51,5,1500,2000000,1.6e-05,20000000,1,0
10,89,53,36,21.16,26,19,7,19.19,112456,67600,32352,25640,7,2000000,51,5,1500,2000000,1.6e-05,20000000,1,0
11,85,52,33,20.74,24,17,7,21.58,105888,66160,37296,28544,7,2000000,51,5,1500,2000000,1.6e-05,20000000,1,0
12,89,55,34,20.75,23,18,5,21.96,113056,70400,36880,28336,7,2000000,51,5,1500,2000000,1.6e-05,20000000,1,0
13,86,53,33,20.55,24,19,5,20.71,112280,69960,35824,27280,7,2000000,51,5,1500,2000000,1.6e-05,20000000,1,0
14,81,51,30,20.0,23,19,4,20.7,103376,65168,36288,27808,7,2000000,51,5,1500,2000000,1.6e-05,20000000,1,0
15,88,53,35,21.88,23,19,4,21.13,120664,74464,36592,27984,7,2000000,51,5,1500,2000000,1.6e-05,20000000,1,0
16,85,54,31,21.29,26,18,8,21.12,118880,73696,41320,26056,7,2000000,51,5,1500,2000000,1.6e-05,20000000,1,0
17,84,55,29,20.69,24,16,8,21.5,112472,72760,40640,24544,7,2000000,51,5,1500,2000000,1.6e-05,20000000,1,0
18,79,52,27,21.11,23,16,7,20.61,115736,67312,38504,23568,7,2000000,51,5,1500,2000000,1.6e-05,20000000,1,0
19,82,49,33,22.01,27,17,10,21.63,119856,64160,40448,26824,7,2000000,51,5,1500,2000000,1.6e-05,20000000,1,0
20,83,55,28,21.17,24,17,7,19.79,108328,69472,32992,24192,7,2000000,51,5,1500,2000000,1.6e-05,20000000,1,0
