RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput (bits),DL_goodput (bits),UL_throughput (bits),UL_goodput (bits),TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,157,118,39,24.46,50,42,8,26.4,109688,84352,41192,35864,4,5000000,51,5,1200,5000000,4.94e-05,5000000,1,0
2,156,123,33,23.78,47,41,6,25.68,113640,92128,40136,34640,4,5000000,51,5,1200,5000000,4.94e-05,5000000,1,0
3,158,116,42,23.86,51,42,9,25.75,107656,76728,41408,34872,4,5000000,51,5,1200,5000000,4.94e-05,5000000,1,0
4,156,114,42,23.79,50,40,10,25.64,128600,82352,42664,34336,4,5000000,51,5,1200,5000000,4.94e-05,5000000,1,0
5,159,115,44,24.6,50,40,10,26.56,109000,77344,43824,34784,4,5000000,51,5,1200,5000000,4.94e-05,5000000,1,0
6,158,116,42,23.89,47,39,8,25.85,110336,81400,40504,32816,4,5000000,51,5,1200,5000000,4.94e-05,5000000,1,0
7,157,115,42,24.4,55,38,17,26.35,110912,79936,44776,32248,4,5000000,51,5,1200,5000000,4.94e-05,5000000,1,0
8,157,116,41,23.79,51,41,10,25.67,107472,80216,43896,34968,4,5000000,51,5,1200,5000000,4.94e-05,5000000,1,0
9,158,111,47,24.1,52,41,11,26.04,103592,69376,43104,34632,4,5000000,51,5,1200,5000000,4.94e-05,5000000,1,0
10,158,114,44,24.1,50,41,9,26.0,100568,70856,43640,34888,4,5000000,51,5,1200,5000000,4.94e-05,5000000,1,0
11,158,112,46,23.95,50,42,8,25.88,112360,75536,41912,34208,4,5000000,51,5,1200,5000000,4.94e-05,5000000,1,0
12,157,113,44,24.5,51,42,9,26.31,120528,84392,42888,35168,4,5000000,51,5,1200,5000000,4.94e-05,5000000,1,0
13,158,112,46,24.16,49,42,7,26.14,109696,75936,41248,34624,4,5000000,51,5,1200,5000000,4.94e-05,5000000,1,0
14,160,107,53,24.39,47,40,7,26.28,108424,66096,38728,32104,4,5000000,51,5,1200,5000000,4.94e-05,5000000,1,0
15,160,108,52,24.03,53,42,11,26.17,103648,65888,43312,33112,4,5000000,51,5,1200,5000000,4.94e-05,5000000,1,0
16,160,106,54,24.41,50,40,10,26.28,102416,65208,41728,32776,4,5000000,51,5,1200,5000000,4.94e-05,5000000,1,0
17,160,111,49,24.5,49,40,9,26.51,101080,68640,39552,32208,4,5000000,51,5,1200,5000000,4.94e-05,5000000,1,0
18,160,115,45,24.27,50,40,10,26.32,104800,70904,40800,33056,4,5000000,51,5,1200,5000000,4.94e-05,5000000,1,0
19,157,115,42,23.87,47,38,9,25.81,106176,76816,36720,30360,4,5000000,51,5,1200,5000000,4.94e-05,5000000,1,0
20,156,122,34,23.77,49,40,9,25.49,110280,87352,38752,32328,4,5000000,51,5,1200,5000000,4.94e-05,5000000,1,0
