RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput (bits),DL_goodput (bits),UL_throughput (bits),UL_goodput (bits),TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,43,23,20,17.47,13,7,6,22.31,0,0,0,0,14,1000000,51,5,1200,1000000,6.769999999999999e-05,5000000,1,0
2,43,25,18,17.79,15,8,7,19.6,0,0,0,0,14,1000000,51,5,1200,1000000,6.769999999999999e-05,5000000,1,0
3,48,26,22,18.5,12,6,6,20.08,0,0,0,0,14,1000000,51,5,1200,1000000,6.769999999999999e-05,5000000,1,0
4,51,24,27,19.53,13,6,7,20.46,0,0,0,0,14,1000000,51,5,1200,1000000,6.769999999999999e-05,5000000,1,0
5,51,24,27,19.39,12,6,6,20.0,0,0,0,0,14,1000000,51,5,1200,1000000,6.769999999999999e-05,5000000,1,0
6,51,23,28,19.41,14,8,6,20.64,0,0,0,0,14,1000000,51,5,1200,1000000,6.769999999999999e-05,5000000,1,0
7,47,21,26,18.77,11,5,6,21.55,0,0,0,0,14,1000000,51,5,1200,1000000,6.769999999999999e-05,5000000,1,0
8,51,25,26,18.8,12,5,7,21.83,0,0,0,0,14,1000000,51,5,1200,1000000,6.769999999999999e-05,5000000,1,0
9,48,24,24,19.1,13,5,8,22.31,0,0,0,0,14,1000000,51,5,1200,1000000,6.769999999999999e-05,5000000,1,0
10,50,24,26,20.02,13,5,8,22.54,0,0,0,0,14,1000000,51,5,1200,1000000,6.769999999999999e-05,5000000,1,0
11,53,25,28,19.62,11,6,5,21.18,0,0,0,0,14,1000000,51,5,1200,1000000,6.769999999999999e-05,5000000,1,0
12,47,21,26,18.81,10,7,3,20.8,0,0,0,0,14,1000000,51,5,1200,1000000,6.769999999999999e-05,5000000,1,0
13,53,23,30,18.91,8,5,3,19.25,0,0,0,0,14,1000000,51,5,1200,1000000,6.769999999999999e-05,5000000,1,0
14,51,23,28,19.45,10,7,3,21.4,0,0,0,0,14,1000000,51,5,1200,1000000,6.769999999999999e-05,5000000,1,0
15,48,21,27,20.12,7,7,0,19.0,0,0,0,0,14,1000000,51,5,1200,1000000,6.769999999999999e-05,5000000,1,0
16,51,23,28,19.92,7,7,0,19.0,0,0,0,0,14,1000000,51,5,1200,1000000,6.769999999999999e-05,5000000,1,0
17,47,23,24,19.53,10,7,3,21.6,0,0,0,0,14,1000000,51,5,1200,1000000,6.769999999999999e-05,5000000,1,0
18,50,24,26,18.5,7,7,0,18.43,0,0,0,0,14,1000000,51,5,1200,1000000,6.769999999999999e-05,5000000,1,0
19,45,23,22,18.13,9,7,2,14.56,0,0,0,0,14,1000000,51,5,1200,1000000,6.769999999999999e-05,5000000,1,0
20,47,22,25,19.57,10,7,3,18.9,0,0,0,0,14,1000000,51,5,1200,1000000,6.769999999999999e-05,5000000,1,0
