RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,160,140,20,24.26,87,73,14,26.08,23792,21112,29264,24592,2,1000000,51,5,960,1000000,9.199999999999998e-06,20000000,1,0
2,160,143,17,24.06,85,72,13,25.85,23928,21552,28448,24208,2,1000000,51,5,960,1000000,9.199999999999998e-06,20000000,1,0
3,160,143,17,24.55,88,71,17,26.55,25000,22648,30192,24528,2,1000000,51,5,960,1000000,9.199999999999998e-06,20000000,1,0
4,160,144,16,24.66,91,72,19,26.58,25024,22808,30656,24480,2,1000000,51,5,960,1000000,9.199999999999998e-06,20000000,1,0
5,160,146,14,24.28,90,69,21,26.18,26216,24432,30032,23168,2,1000000,51,5,960,1000000,9.199999999999998e-06,20000000,1,0
6,160,146,14,24.38,89,70,19,26.33,25088,23176,29824,23520,2,1000000,51,5,960,1000000,9.199999999999998e-06,20000000,1,0
7,160,146,14,24.51,91,67,24,26.41,24720,23080,30464,22704,2,1000000,51,5,960,1000000,9.199999999999998e-06,20000000,1,0
8,160,151,9,24.36,95,71,24,26.33,25504,24256,31952,23920,2,1000000,51,5,960,1000000,9.199999999999998e-06,20000000,1,0
9,160,147,13,24.46,95,70,25,26.41,25784,24056,32160,23904,2,1000000,51,5,960,1000000,9.199999999999998e-06,20000000,1,0
10,160,147,13,24.02,94,72,22,25.87,25016,23344,31184,24224,2,1000000,51,5,960,1000000,9.199999999999998e-06,20000000,1,0
11,160,144,16,24.0,90,72,18,25.91,23792,21600,30032,24240,2,1000000,51,5,960,1000000,9.199999999999998e-06,20000000,1,0
12,160,145,15,24.48,85,69,16,26.2,24696,22624,28496,23216,2,1000000,51,5,960,1000000,9.199999999999998e-06,20000000,1,0
13,160,149,11,24.42,88,69,19,26.36,26080,24192,29184,23120,2,1000000,51,5,960,1000000,9.199999999999998e-06,20000000,1,0
14,160,150,10,24.85,90,70,20,26.78,26216,24472,30272,23872,2,1000000,51,5,960,1000000,9.199999999999998e-06,20000000,1,0
15,160,146,14,24.43,86,66,20,26.56,25752,23304,29184,22624,2,1000000,51,5,960,1000000,9.199999999999998e-06,20000000,1,0
16,160,146,14,24.61,88,69,19,26.5,25816,23400,30048,23712,2,1000000,51,5,960,1000000,9.199999999999998e-06,20000000,1,0
17,160,146,14,24.4,90,71,19,26.46,25768,23336,30112,24192,2,1000000,51,5,960,1000000,9.199999999999998e-06,20000000,1,0
18,160,146,14,24.07,90,70,20,26.09,24400,22208,30240,23600,2,1000000,51,5,960,1000000,9.199999999999998e-06,20000000,1,0
19,160,145,15,24.99,94,66,28,27.0,25424,22928,31248,22352,2,1000000,51,5,960,1000000,9.199999999999998e-06,20000000,1,0
20,160,140,20,24.04,87,69,18,25.8,23920,21152,28736,22928,2,1000000,51,5,960,1000000,9.199999999999998e-06,20000000,1,0
