RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput (bits),DL_goodput (bits),UL_throughput (bits),UL_goodput (bits),TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,92,80,12,24.04,25,22,3,26.12,154656,135280,49704,43632,7,5000000,51,5,750,5000000,2.1500000000000004e-05,20000000,1,0
2,94,80,14,23.91,23,22,1,25.96,158320,135288,45816,43792,7,5000000,51,5,750,5000000,2.1500000000000004e-05,20000000,1,0
3,99,79,20,24.11,24,21,3,26.17,168872,134240,48544,42472,7,5000000,51,5,750,5000000,2.1500000000000004e-05,20000000,1,0
4,101,79,22,24.66,25,22,3,26.52,178824,139184,50408,43952,7,5000000,51,5,750,5000000,2.1500000000000004e-05,20000000,1,0
5,99,78,21,24.7,23,22,1,26.65,174280,137120,43928,41776,7,5000000,51,5,750,5000000,2.1500000000000004e-05,20000000,1,0
6,98,78,20,23.94,25,22,3,25.88,166144,131448,45992,39920,7,5000000,51,5,750,5000000,2.1500000000000004e-05,20000000,1,0
7,98,73,25,24.8,24,20,4,26.67,166688,125640,46080,38016,7,5000000,51,5,750,5000000,2.1500000000000004e-05,20000000,1,0
8,95,76,19,24.07,28,21,7,26.07,161688,128280,54752,41320,7,5000000,51,5,750,5000000,2.1500000000000004e-05,20000000,1,0
9,98,76,22,23.84,27,21,6,25.81,163824,126184,52152,39624,7,5000000,51,5,750,5000000,2.1500000000000004e-05,20000000,1,0
10,99,79,20,24.23,25,21,4,26.28,169256,134848,49096,40616,7,5000000,51,5,750,5000000,2.1500000000000004e-05,20000000,1,0
11,101,77,24,24.6,24,21,3,26.58,173720,134616,47392,40936,7,5000000,51,5,750,5000000,2.1500000000000004e-05,20000000,1,0
12,97,78,19,24.65,24,21,3,26.58,169824,136472,46240,39784,7,5000000,51,5,750,5000000,2.1500000000000004e-05,20000000,1,0
13,96,79,17,24.06,28,22,6,26.14,161856,131296,54112,41584,7,5000000,51,5,750,5000000,2.1500000000000004e-05,20000000,1,0
14,94,78,16,24.18,25,21,4,26.12,159416,130528,49288,40808,7,5000000,51,5,750,5000000,2.1500000000000004e-05,20000000,1,0
15,95,80,15,24.22,25,20,5,26.44,157408,133840,50312,39808,7,5000000,51,5,750,5000000,2.1500000000000004e-05,20000000,1,0
16,86,81,5,24.65,28,21,7,26.5,150504,140928,56096,41576,7,5000000,51,5,750,5000000,2.1500000000000004e-05,20000000,1,0
17,88,81,7,23.75,26,20,6,25.77,148824,135776,52080,39936,7,5000000,51,5,750,5000000,2.1500000000000004e-05,20000000,1,0
18,87,81,6,23.83,24,20,4,25.92,149280,137616,48672,40192,7,5000000,51,5,750,5000000,2.1500000000000004e-05,20000000,1,0
19,87,78,9,24.54,25,21,4,26.52,152512,136576,49000,42024,7,5000000,51,5,750,5000000,2.1500000000000004e-05,20000000,1,0
20,93,80,13,24.14,22,21,1,26.0,158104,136400,44464,42440,7,5000000,51,5,750,5000000,2.1500000000000004e-05,20000000,1,0
