RNTIs_DL,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL
1,403,220,183,5,357,240,117,5
2,398,221,177,5,357,240,117,5
3,395,218,177,5,357,240,117,5
4,412,223,189,5,357,240,117,5
5,407,221,186,5,357,240,117,5
6,409,220,189,5,357,240,117,5
7,401,218,183,5,357,240,117,5
8,429,219,210,5,360,240,120,5
9,402,219,183,5,360,240,120,5
10,415,218,197,5,360,240,120,5
11,402,217,185,5,360,240,120,5
12,409,221,188,5,360,240,120,5
13,406,217,189,5,360,240,120,5
14,411,219,192,5,360,240,120,5
15,398,219,179,5,360,240,120,5
16,412,221,191,5,360,240,120,5
17,396,220,176,5,360,240,120,5
18,401,218,183,5,359,240,119,5
19,393,216,177,5,359,240,119,5
20,407,221,186,5,359,240,119,5
21,404,219,185,5,359,240,119,5
22,392,219,173,5,359,240,119,5
23,371,213,158,5,359,240,119,5
24,392,219,173,5,359,240,119,5
25,402,217,185,5,359,240,119,5
26,391,215,176,5,359,240,119,5
27,397,218,179,5,359,240,119,5
28,390,219,171,5,357,239,118,5
29,408,222,186,5,357,239,118,5
30,400,219,181,5,357,239,118,5
31,402,218,184,5,360,239,121,5
32,404,220,184,5,359,238,121,5
33,394,219,175,5,359,238,121,5
34,399,218,181,5,359,238,121,5
35,382,219,163,5,359,238,121,5
36,393,218,175,5,359,238,121,5
37,392,220,172,5,359,238,121,5
38,388,220,168,5,359,239,120,5
39,392,221,171,5,359,239,120,5
40,385,220,165,5,358,238,120,5
41,401,221,180,5,356,239,117,5
42,399,219,180,5,356,239,117,5
43,396,219,177,5,356,239,117,5
44,392,221,171,5,356,239,117,5
45,392,218,174,5,356,239,117,5
46,404,221,183,5,356,239,117,5
47,404,218,186,5,356,239,117,5
48,408,219,189,5,356,239,117,5
49,409,220,189,5,356,239,117,5
50,411,219,192,5,356,239,117,5
