RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,312,236,76,23.48,96,72,24,23.49,225536,151280,72856,51768,4,1000000,51,10,960,1000000,5.99e-05,5000000,1,0
2,311,226,85,23.41,101,71,30,24.03,200904,142776,77800,52360,4,1000000,51,10,960,1000000,5.99e-05,5000000,1,0
3,309,232,77,23.14,106,72,34,23.76,199056,145144,81016,52904,4,1000000,51,10,960,1000000,5.99e-05,5000000,1,0
4,308,229,79,23.47,101,70,31,23.73,210176,143280,74856,49704,4,1000000,51,10,960,1000000,5.99e-05,5000000,1,0
5,310,239,71,22.91,100,70,30,23.56,210200,149952,73720,50584,4,1000000,51,10,960,1000000,5.99e-05,5000000,1,0
6,307,232,75,23.23,103,68,35,23.77,207728,147928,77272,50448,4,1000000,51,10,960,1000000,5.99e-05,5000000,1,0
7,311,234,77,23.59,106,70,36,23.74,204832,145688,75032,49848,4,1000000,51,10,960,1000000,5.99e-05,5000000,1,0
8,308,228,80,23.41,101,69,32,23.4,200248,142208,73048,48904,4,1000000,51,10,960,1000000,5.99e-05,5000000,1,0
9,316,237,79,23.18,98,71,27,23.31,207120,149672,76512,52184,4,1000000,51,10,960,1000000,5.99e-05,5000000,1,0
10,309,240,69,22.81,97,72,25,23.24,205848,155120,75528,53072,4,1000000,51,10,960,1000000,5.99e-05,5000000,1,0
11,312,239,73,23.19,95,71,24,23.57,207952,154544,73216,51808,4,1000000,51,10,960,1000000,5.99e-05,5000000,1,0
12,307,240,67,23.24,100,72,28,23.32,224152,163848,75200,52160,4,1000000,51,10,960,1000000,5.99e-05,5000000,1,0
13,309,240,69,23.34,99,72,27,23.59,224864,156120,69824,49512,4,1000000,51,10,960,1000000,5.99e-05,5000000,1,0
14,309,242,67,23.11,97,71,26,23.43,223704,161376,71008,48872,4,1000000,51,10,960,1000000,5.99e-05,5000000,1,0
15,309,243,66,22.8,105,72,33,23.12,215808,154240,76784,49936,4,1000000,51,10,960,1000000,5.99e-05,5000000,1,0
16,310,236,74,23.03,102,72,30,23.12,194056,138736,69864,48200,4,1000000,51,10,960,1000000,5.99e-05,5000000,1,0
17,311,233,78,23.43,102,70,32,24.08,215336,149784,75256,50544,4,1000000,51,10,960,1000000,5.99e-05,5000000,1,0
18,307,235,72,23.12,105,74,31,23.49,194648,142200,77240,53368,4,1000000,51,10,960,1000000,5.99e-05,5000000,1,0
19,313,234,79,23.26,100,71,29,23.06,198144,141600,68288,48600,4,1000000,51,10,960,1000000,5.99e-05,5000000,1,0
20,313,234,79,23.4,93,71,22,23.3,203496,145864,67120,50440,4,1000000,51,10,960,1000000,5.99e-05,5000000,1,0
