,Frame,Slot,Type,0,1,2,3,4,5,6,7,8,9
0,0,0,DL,0,0,0,0,0,0,0,0,0,0
1,0,0,DL,0,0,0,0,0,0,0,0,0,0
2,0,0,DL,0,0,0,0,0,0,0,0,0,0
3,0,0,DL,0,0,0,0,0,0,0,0,0,0
4,0,0,DL,0,0,0,0,0,0,0,0,0,0
5,0,0,DL,0,0,0,0,0,0,0,0,0,0
6,0,0,DL,0,0,0,0,0,0,0,0,0,0
7,0,0,DL,0,0,0,0,0,0,0,0,0,0
8,0,0,DL,0,0,0,0,0,0,0,0,0,0
9,0,0,DL,0,0,0,0,0,0,0,0,0,0
10,0,0,DL,0,0,0,0,0,0,0,0,0,0
11,0,0,DL,0,0,0,0,0,0,0,0,0,0
12,0,0,DL,0,0,0,0,0,0,0,0,0,0
13,0,0,DL,0,0,0,0,0,0,0,0,0,0
14,0,1,DL,1,2,3,4,5,1,2,3,4,5
15,0,1,DL,1,2,3,4,5,1,2,3,4,5
16,0,1,DL,1,2,3,4,5,1,2,3,4,5
17,0,1,DL,1,2,3,4,5,1,2,3,4,5
18,0,1,DL,1,2,3,4,5,1,2,3,4,5
19,0,1,DL,1,2,3,4,5,1,2,3,4,5
20,0,1,DL,1,2,3,4,5,1,2,3,4,5
21,0,1,DL,1,2,3,4,5,1,2,3,4,5
22,0,1,DL,1,2,3,4,5,1,2,3,4,5
23,0,1,DL,1,2,3,4,5,1,2,3,4,5
24,0,1,DL,1,2,3,4,5,1,2,3,4,5
25,0,1,DL,1,2,3,4,5,1,2,3,4,5
26,0,1,DL,1,2,3,4,5,1,2,3,4,5
27,0,1,DL,1,2,3,4,5,1,2,3,4,5
28,0,2,DL,1,2,3,4,5,1,2,3,4,5
29,0,2,DL,1,2,3,4,5,1,2,3,4,5
30,0,2,DL,1,2,3,4,5,1,2,3,4,5
31,0,2,DL,1,2,3,4,5,1,2,3,4,5
32,0,2,DL,1,2,3,4,5,1,2,3,4,5
33,0,2,DL,1,2,3,4,5,1,2,3,4,5
34,0,2,DL,1,2,3,4,5,1,2,3,4,5
35,0,2,DL,0,0,0,0,0,0,0,0,0,0
36,0,2,G,0,0,0,0,0,0,0,0,0,0
37,0,2,G,0,0,0,0,0,0,0,0,0,0
38,0,2,UL,0,0,0,0,0,0,0,0,0,0
39,0,2,UL,0,0,0,0,0,0,0,0,0,0
40,0,2,UL,0,0,0,0,0,0,0,0,0,0
41,0,2,UL,0,0,0,0,0,0,0,0,0,0
42,0,3,UL,0,0,0,0,0,0,0,0,0,0
43,0,3,UL,0,0,0,0,0,0,0,0,0,0
44,0,3,UL,0,0,0,0,0,0,0,0,0,0
