RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput (bits),DL_goodput (bits),UL_throughput (bits),UL_goodput (bits),TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,51,15,36,24.29,12,3,9,26.67,0,0,0,0,14,1000000,51,5,4000,1000000,2.7e-06,5000000,1,0
2,56,17,39,24.0,10,3,7,26.2,0,0,0,0,14,1000000,51,5,4000,1000000,2.7e-06,5000000,1,0
3,50,16,34,24.08,14,4,10,26.43,0,0,0,0,14,1000000,51,5,4000,1000000,2.7e-06,5000000,1,0
4,50,16,34,23.48,12,3,9,25.67,0,0,0,0,14,1000000,51,5,4000,1000000,2.7e-06,5000000,1,0
5,48,15,33,23.75,13,4,9,25.77,0,0,0,0,14,1000000,51,5,4000,1000000,2.7e-06,5000000,1,0
6,49,16,33,24.8,12,3,9,26.67,0,0,0,0,14,1000000,51,5,4000,1000000,2.7e-06,5000000,1,0
7,47,14,33,24.57,8,2,6,26.75,0,0,0,0,14,1000000,51,5,4000,1000000,2.7e-06,5000000,1,0
8,49,16,33,24.14,8,2,6,26.0,0,0,0,0,14,1000000,51,5,4000,1000000,2.7e-06,5000000,1,0
9,46,14,32,24.35,10,3,7,26.8,0,0,0,0,14,1000000,51,5,4000,1000000,2.7e-06,5000000,1,0
10,51,15,36,24.06,11,3,8,25.91,0,0,0,0,14,1000000,51,5,4000,1000000,2.7e-06,5000000,1,0
11,51,16,35,24.57,8,2,6,26.5,0,0,0,0,14,1000000,51,5,4000,1000000,2.7e-06,5000000,1,0
12,47,14,33,25.0,8,2,6,26.75,0,0,0,0,14,1000000,51,5,4000,1000000,2.7e-06,5000000,1,0
13,47,14,33,24.79,8,2,6,26.75,0,0,0,0,14,1000000,51,5,4000,1000000,2.7e-06,5000000,1,0
14,47,15,32,24.04,11,3,8,26.27,0,0,0,0,14,1000000,51,5,4000,1000000,2.7e-06,5000000,1,0
15,47,15,32,23.6,9,3,6,26.11,0,0,0,0,14,1000000,51,5,4000,1000000,2.7e-06,5000000,1,0
16,50,15,35,24.6,8,2,6,26.5,0,0,0,0,14,1000000,51,5,4000,1000000,2.7e-06,5000000,1,0
17,46,14,32,24.3,10,3,7,26.8,0,0,0,0,14,1000000,51,5,4000,1000000,2.7e-06,5000000,1,0
18,44,13,31,24.41,9,3,6,27.0,0,0,0,0,14,1000000,51,5,4000,1000000,2.7e-06,5000000,1,0
19,46,15,31,23.96,8,2,6,26.0,0,0,0,0,14,1000000,51,5,4000,1000000,2.7e-06,5000000,1,0
20,49,15,34,24.71,8,2,6,26.5,0,0,0,0,14,1000000,51,5,4000,1000000,2.7e-06,5000000,1,0
