RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,87,43,44,21.68,17,14,3,22.0,116288,50728,26384,21016,7,2000000,51,5,1600,2000000,7.929999999999999e-05,2000000,1,0
2,88,43,45,21.23,24,13,11,21.21,122040,52384,36144,16472,7,2000000,51,5,1600,2000000,7.929999999999999e-05,2000000,1,0
3,89,45,44,21.53,19,13,6,22.58,124008,54944,32400,20704,7,2000000,51,5,1600,2000000,7.929999999999999e-05,2000000,1,0
4,85,46,39,20.99,22,13,9,22.77,121768,55592,35672,20080,7,2000000,51,5,1600,2000000,7.929999999999999e-05,2000000,1,0
5,97,45,52,21.68,20,11,9,23.55,133104,55376,32216,16496,7,2000000,51,5,1600,2000000,7.929999999999999e-05,2000000,1,0
6,86,46,40,21.6,23,12,11,23.09,119664,57048,38480,16536,7,2000000,51,5,1600,2000000,7.929999999999999e-05,2000000,1,0
7,94,45,49,22.32,24,12,12,22.96,135504,59240,38472,16904,7,2000000,51,5,1600,2000000,7.929999999999999e-05,2000000,1,0
8,91,44,47,21.52,25,11,14,24.08,125752,52408,44360,17464,7,2000000,51,5,1600,2000000,7.929999999999999e-05,2000000,1,0
9,89,46,43,21.99,23,11,12,23.26,123272,58896,40688,16336,7,2000000,51,5,1600,2000000,7.929999999999999e-05,2000000,1,0
10,91,45,46,21.91,21,11,10,22.67,125848,56968,35104,15344,7,2000000,51,5,1600,2000000,7.929999999999999e-05,2000000,1,0
11,93,46,47,21.78,27,12,15,23.37,128144,57688,46304,18056,7,2000000,51,5,1600,2000000,7.929999999999999e-05,2000000,1,0
12,91,43,48,21.96,26,12,14,23.23,118104,53104,43616,17680,7,2000000,51,5,1600,2000000,7.929999999999999e-05,2000000,1,0
13,92,47,45,22.0,25,12,13,23.52,128832,61064,41816,17200,7,2000000,51,5,1600,2000000,7.929999999999999e-05,2000000,1,0
14,81,46,35,21.16,22,12,10,22.77,112616,57360,38776,18888,7,2000000,51,5,1600,2000000,7.929999999999999e-05,2000000,1,0
15,94,47,47,21.41,19,12,7,21.89,133288,57488,34240,19176,7,2000000,51,5,1600,2000000,7.929999999999999e-05,2000000,1,0
16,88,44,44,21.6,20,13,7,22.2,122920,53904,32448,19336,7,2000000,51,5,1600,2000000,7.929999999999999e-05,2000000,1,0
17,91,44,47,21.75,19,12,7,21.74,131832,54232,33584,18904,7,2000000,51,5,1600,2000000,7.929999999999999e-05,2000000,1,0
18,89,43,46,21.7,19,12,7,22.37,129488,52960,34408,19344,7,2000000,51,5,1600,2000000,7.929999999999999e-05,2000000,1,0
19,88,45,43,21.61,21,12,9,23.71,129272,56448,35864,19856,7,2000000,51,5,1600,2000000,7.929999999999999e-05,2000000,1,0
20,87,43,44,21.77,20,13,7,22.65,121608,53488,35688,21168,7,2000000,51,5,1600,2000000,7.929999999999999e-05,2000000,1,0
