RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput (bits),DL_goodput (bits),UL_throughput (bits),UL_goodput (bits),TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,160,143,17,24.88,87,72,15,26.79,25184,22752,29632,24816,2,2000000,51,5,640,2000000,8.75e-05,2000000,1,0
2,160,146,14,24.24,88,72,16,26.09,25032,23160,29344,24176,2,2000000,51,5,640,2000000,8.75e-05,2000000,1,0
3,160,144,16,23.91,86,73,13,25.88,24128,21976,28752,24480,2,2000000,51,5,640,2000000,8.75e-05,2000000,1,0
4,160,144,16,24.45,89,72,17,26.3,25016,22672,30128,24512,2,2000000,51,5,640,2000000,8.75e-05,2000000,1,0
5,160,143,17,23.8,87,72,15,25.67,24824,21872,29008,24096,2,2000000,51,5,640,2000000,8.75e-05,2000000,1,0
6,160,144,16,24.19,93,70,23,26.08,24200,22016,30864,23456,2,2000000,51,5,640,2000000,8.75e-05,2000000,1,0
7,160,144,16,24.42,96,74,22,26.27,25232,22872,32128,24960,2,2000000,51,5,640,2000000,8.75e-05,2000000,1,0
8,160,143,17,23.76,87,71,16,25.6,24392,21472,28896,23648,2,2000000,51,5,640,2000000,8.75e-05,2000000,1,0
9,160,143,17,24.4,87,69,18,26.26,24784,22264,29168,23424,2,2000000,51,5,640,2000000,8.75e-05,2000000,1,0
10,160,144,16,23.65,88,72,16,25.41,24352,21832,28880,23856,2,2000000,51,5,640,2000000,8.75e-05,2000000,1,0
11,160,143,17,23.98,90,71,19,25.87,24752,22032,29904,23840,2,2000000,51,5,640,2000000,8.75e-05,2000000,1,0
12,160,142,18,24.34,89,74,15,26.01,25712,22568,29712,25008,2,2000000,51,5,640,2000000,8.75e-05,2000000,1,0
13,160,145,15,24.4,91,71,20,26.34,26232,23608,30464,24080,2,2000000,51,5,640,2000000,8.75e-05,2000000,1,0
14,160,141,19,24.73,87,70,17,26.75,25704,22296,29392,24064,2,2000000,51,5,640,2000000,8.75e-05,2000000,1,0
15,160,143,17,24.03,87,73,14,26.08,24424,21680,29328,24736,2,2000000,51,5,640,2000000,8.75e-05,2000000,1,0
16,160,138,22,24.59,90,72,18,26.47,26064,21848,30256,24448,2,2000000,51,5,640,2000000,8.75e-05,2000000,1,0
17,160,138,22,23.51,86,74,12,25.4,25528,21392,28224,24544,2,2000000,51,5,640,2000000,8.75e-05,2000000,1,0
18,160,141,19,24.42,90,71,19,26.47,25728,22176,29888,24208,2,2000000,51,5,640,2000000,8.75e-05,2000000,1,0
19,160,143,17,24.66,94,70,24,26.66,26152,23784,31088,23712,2,2000000,51,5,640,2000000,8.75e-05,2000000,1,0
20,160,144,16,24.21,85,72,13,25.99,24856,22640,28160,24080,2,2000000,51,5,640,2000000,8.75e-05,2000000,1,0
