RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput (bits),DL_goodput (bits),UL_throughput (bits),UL_goodput (bits),TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,31,14,17,17.97,11,4,7,14.09,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,1,0
2,35,14,21,17.91,13,4,9,13.15,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,1,0
3,35,16,19,17.4,11,4,7,11.73,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,1,0
4,38,16,22,19.16,12,3,9,11.75,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,1,0
5,33,16,17,17.7,9,3,6,11.89,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,1,0
6,34,16,18,17.94,13,4,9,14.92,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,1,0
7,33,16,17,18.73,9,3,6,12.22,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,1,0
8,36,16,20,19.86,8,2,6,13.25,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,1,0
9,32,14,18,19.62,11,3,8,16.45,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,1,0
10,34,14,20,18.15,8,2,6,13.0,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,1,0
11,34,16,18,19.38,9,3,6,17.56,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,1,0
12,35,14,21,21.11,9,3,6,11.78,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,1,0
13,32,15,17,17.5,12,3,9,11.17,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,1,0
14,30,14,16,15.37,12,4,8,11.17,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,1,0
15,31,15,16,14.94,13,4,9,12.85,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,1,0
16,32,15,17,16.53,13,4,9,11.77,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,1,0
17,35,16,19,16.09,12,4,8,11.0,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,1,0
18,31,16,15,16.52,13,4,9,12.38,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,1,0
19,33,15,18,15.67,9,3,6,11.67,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,1,0
20,36,15,21,20.56,11,4,7,14.64,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,1,0
