RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput (bits),DL_goodput (bits),UL_throughput (bits),UL_goodput (bits),TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,124,60,64,19.6,43,22,21,15.79,63632,24920,21816,10304,4,5000000,51,5,3200,5000000,7.59e-05,2000000,1,0
2,140,73,67,17.01,47,24,23,14.7,53336,20344,20392,9760,4,5000000,51,5,3200,5000000,7.59e-05,2000000,1,0
3,135,66,69,16.91,50,24,26,15.92,51208,20544,25560,11720,4,5000000,51,5,3200,5000000,7.59e-05,2000000,1,0
4,133,70,63,17.92,50,23,27,15.94,55264,21184,23088,10128,4,5000000,51,5,3200,5000000,7.59e-05,2000000,1,0
5,127,67,60,17.44,49,25,24,16.33,48624,20912,24944,11096,4,5000000,51,5,3200,5000000,7.59e-05,2000000,1,0
6,116,56,60,19.01,38,24,14,17.42,51456,21496,21944,10992,4,5000000,51,5,3200,5000000,7.59e-05,2000000,1,0
7,130,62,68,17.99,43,26,17,15.6,75968,29824,21768,12224,4,5000000,51,5,3200,5000000,7.59e-05,2000000,1,0
8,132,64,68,17.65,43,27,16,14.12,67936,25528,19528,12040,4,5000000,51,5,3200,5000000,7.59e-05,2000000,1,0
9,134,66,68,17.25,46,26,20,14.15,50560,22080,20800,10368,4,5000000,51,5,3200,5000000,7.59e-05,2000000,1,0
10,129,67,62,18.36,42,24,18,16.98,65032,30288,24008,11136,4,5000000,51,5,3200,5000000,7.59e-05,2000000,1,0
11,130,75,55,16.83,38,23,15,17.5,55728,27960,23280,11104,4,5000000,51,5,3200,5000000,7.59e-05,2000000,1,0
12,127,65,62,18.39,44,26,18,14.73,58136,25016,21096,12008,4,5000000,51,5,3200,5000000,7.59e-05,2000000,1,0
13,130,68,62,18.02,42,24,18,15.74,52032,24360,19768,11536,4,5000000,51,5,3200,5000000,7.59e-05,2000000,1,0
14,121,59,62,19.06,46,25,21,15.22,61608,29272,22336,11632,4,5000000,51,5,3200,5000000,7.59e-05,2000000,1,0
15,116,58,58,19.89,43,24,19,17.65,64360,29560,22200,11352,4,5000000,51,5,3200,5000000,7.59e-05,2000000,1,0
16,121,60,61,19.45,45,24,21,16.07,55432,23160,20040,10152,4,5000000,51,5,3200,5000000,7.59e-05,2000000,1,0
17,125,66,59,19.58,45,25,20,16.42,58888,24384,18568,9992,4,5000000,51,5,3200,5000000,7.59e-05,2000000,1,0
18,122,73,49,17.54,48,25,23,15.15,91560,33712,20632,10112,4,5000000,51,5,3200,5000000,7.59e-05,2000000,1,0
19,127,73,54,17.09,43,24,19,16.47,56824,23936,20312,10592,4,5000000,51,5,3200,5000000,7.59e-05,2000000,1,0
20,114,58,56,20.23,40,24,16,16.0,63800,26248,20376,10560,4,5000000,51,5,3200,5000000,7.59e-05,2000000,1,0
