RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput (bits),DL_goodput (bits),UL_throughput (bits),UL_goodput (bits),TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,89,63,26,24.48,27,18,9,26.63,157576,108232,55160,37136,7,1000000,51,5,800,1000000,5.9399999999999994e-05,5000000,1,0
2,92,63,29,23.65,28,19,9,25.64,154112,102512,54368,36888,7,1000000,51,5,800,1000000,5.9399999999999994e-05,5000000,1,0
3,92,64,28,23.91,25,17,8,26.28,158080,104712,47008,33056,7,1000000,51,5,800,1000000,5.9399999999999994e-05,5000000,1,0
4,92,64,28,24.37,27,18,9,26.41,161648,107096,53240,36592,7,1000000,51,5,800,1000000,5.9399999999999994e-05,5000000,1,0
5,91,62,29,24.12,26,19,7,26.31,154776,101824,51376,38488,7,1000000,51,5,800,1000000,5.9399999999999994e-05,5000000,1,0
6,92,65,27,24.04,25,18,7,26.2,156984,107888,47272,34640,7,1000000,51,5,800,1000000,5.9399999999999994e-05,5000000,1,0
7,95,62,33,24.75,26,19,7,26.69,163608,106480,49168,37368,7,1000000,51,5,800,1000000,5.9399999999999994e-05,5000000,1,0
8,97,63,34,24.32,23,19,4,26.22,165960,104848,46040,38904,7,1000000,51,5,800,1000000,5.9399999999999994e-05,5000000,1,0
9,95,64,31,24.31,23,19,4,26.3,161768,106248,43704,38008,7,1000000,51,5,800,1000000,5.9399999999999994e-05,5000000,1,0
10,97,65,32,24.59,19,18,1,26.47,165496,109168,35792,34728,7,1000000,51,5,800,1000000,5.9399999999999994e-05,5000000,1,0
11,92,66,26,24.24,22,18,4,26.27,155184,110336,42896,35760,7,1000000,51,5,800,1000000,5.9399999999999994e-05,5000000,1,0
12,89,64,25,24.08,23,19,4,26.13,143656,104936,44496,36976,7,1000000,51,5,800,1000000,5.9399999999999994e-05,5000000,1,0
13,88,65,23,23.68,23,19,4,25.96,144968,107192,43544,36664,7,1000000,51,5,800,1000000,5.9399999999999994e-05,5000000,1,0
14,91,66,25,24.57,22,19,3,26.64,159008,113192,46448,40376,7,1000000,51,5,800,1000000,5.9399999999999994e-05,5000000,1,0
15,89,65,24,24.1,22,19,3,26.36,152592,106136,45680,39224,7,1000000,51,5,800,1000000,5.9399999999999994e-05,5000000,1,0
16,88,61,27,23.82,25,19,6,25.64,147680,98176,49320,37176,7,1000000,51,5,800,1000000,5.9399999999999994e-05,5000000,1,0
17,95,64,31,24.22,22,16,6,26.09,157888,103192,45392,32864,7,1000000,51,5,800,1000000,5.9399999999999994e-05,5000000,1,0
18,92,62,30,23.91,22,16,6,26.09,154296,99384,45424,33280,7,1000000,51,5,800,1000000,5.9399999999999994e-05,5000000,1,0
19,90,62,28,24.62,27,18,9,26.52,155568,102392,55992,37008,7,1000000,51,5,800,1000000,5.9399999999999994e-05,5000000,1,0
20,93,63,30,24.81,28,17,11,26.79,160656,107328,55680,34024,7,1000000,51,5,800,1000000,5.9399999999999994e-05,5000000,1,0
