RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,97,92,5,19.82,30,28,2,20.5,138328,129952,42960,40872,7,5000000,51,5,500,5000000,3.01e-05,20000000,1,0
2,96,91,5,19.69,30,28,2,20.43,135864,127648,41968,39752,7,5000000,51,5,500,5000000,3.01e-05,20000000,1,0
3,96,91,5,19.32,29,28,1,19.79,134256,125776,41840,39816,7,5000000,51,5,500,5000000,3.01e-05,20000000,1,0
4,97,91,6,19.8,30,28,2,20.43,140480,128336,44160,41944,7,5000000,51,5,500,5000000,3.01e-05,20000000,1,0
5,98,92,6,19.82,30,28,2,20.5,139704,129200,43200,40984,7,5000000,51,5,500,5000000,3.01e-05,20000000,1,0
6,99,93,6,19.09,29,27,2,19.79,135128,125296,39528,37456,7,5000000,51,5,500,5000000,3.01e-05,20000000,1,0
7,97,91,6,19.16,29,28,1,19.59,132560,123832,39888,37864,7,5000000,51,5,500,5000000,3.01e-05,20000000,1,0
8,98,92,6,19.9,29,28,1,20.34,137840,129464,41328,39176,7,5000000,51,5,500,5000000,3.01e-05,20000000,1,0
9,98,92,6,19.3,29,28,1,20.07,135944,125480,41968,39816,7,5000000,51,5,500,5000000,3.01e-05,20000000,1,0
10,99,91,8,19.93,29,28,1,20.28,140072,127488,44064,41912,7,5000000,51,5,500,5000000,3.01e-05,20000000,1,0
11,98,90,8,20.07,29,28,1,21.21,137456,125672,44616,42464,7,5000000,51,5,500,5000000,3.01e-05,20000000,1,0
12,98,92,6,19.9,28,27,1,20.93,137344,127168,40704,39096,7,5000000,51,5,500,5000000,3.01e-05,20000000,1,0
13,98,92,6,19.37,27,27,0,20.26,134392,124376,37984,37984,7,5000000,51,5,500,5000000,3.01e-05,20000000,1,0
14,97,91,6,19.56,28,27,1,20.43,135496,124280,40512,40448,7,5000000,51,5,500,5000000,3.01e-05,20000000,1,0
15,98,92,6,19.07,28,27,1,20.64,131488,122080,41480,41416,7,5000000,51,5,500,5000000,3.01e-05,20000000,1,0
16,97,92,5,19.95,27,27,0,20.63,136816,128680,41192,41192,7,5000000,51,5,500,5000000,3.01e-05,20000000,1,0
17,94,90,4,19.27,28,27,1,20.29,131264,124192,40952,40888,7,5000000,51,5,500,5000000,3.01e-05,20000000,1,0
18,95,92,3,19.72,28,27,1,20.93,136472,130400,41408,41344,7,5000000,51,5,500,5000000,3.01e-05,20000000,1,0
19,96,91,5,19.55,28,27,1,20.93,135256,126680,40600,40536,7,5000000,51,5,500,5000000,3.01e-05,20000000,1,0
20,96,91,5,19.88,27,27,0,20.7,137064,128392,41960,41960,7,5000000,51,5,500,5000000,3.01e-05,20000000,1,0
