RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,93,44,49,20.42,24,12,12,21.0,0,0,0,0,14,2000000,51,10,1500,2000000,4.36e-05,10000000,1,0
2,95,46,49,20.6,23,11,12,21.87,0,0,0,0,14,2000000,51,10,1500,2000000,4.36e-05,10000000,1,0
3,90,40,50,21.08,21,10,11,21.52,0,0,0,0,14,2000000,51,10,1500,2000000,4.36e-05,10000000,1,0
4,93,44,49,20.22,24,12,12,19.75,0,0,0,0,14,2000000,51,10,1500,2000000,4.36e-05,10000000,1,0
5,92,40,52,20.21,23,12,11,19.26,0,0,0,0,14,2000000,51,10,1500,2000000,4.36e-05,10000000,1,0
6,89,42,47,20.21,24,12,12,19.42,0,0,0,0,14,2000000,51,10,1500,2000000,4.36e-05,10000000,1,0
7,91,45,46,19.7,23,9,14,18.09,0,0,0,0,14,2000000,51,10,1500,2000000,4.36e-05,10000000,1,0
8,84,44,40,19.87,26,12,14,17.23,0,0,0,0,14,2000000,51,10,1500,2000000,4.36e-05,10000000,1,0
9,91,44,47,20.97,22,8,14,19.32,0,0,0,0,14,2000000,51,10,1500,2000000,4.36e-05,10000000,1,0
10,93,45,48,20.34,25,10,15,19.32,0,0,0,0,14,2000000,51,10,1500,2000000,4.36e-05,10000000,1,0
11,93,41,52,20.23,21,8,13,17.67,0,0,0,0,14,2000000,51,10,1500,2000000,4.36e-05,10000000,1,0
12,99,45,54,20.2,21,7,14,18.95,0,0,0,0,14,2000000,51,10,1500,2000000,4.36e-05,10000000,1,0
13,97,43,54,19.89,23,10,13,19.22,0,0,0,0,14,2000000,51,10,1500,2000000,4.36e-05,10000000,1,0
14,90,43,47,19.72,21,10,11,17.33,0,0,0,0,14,2000000,51,10,1500,2000000,4.36e-05,10000000,1,0
15,88,43,45,20.06,21,11,10,19.1,0,0,0,0,14,2000000,51,10,1500,2000000,4.36e-05,10000000,1,0
16,97,44,53,20.44,19,10,9,19.05,0,0,0,0,14,2000000,51,10,1500,2000000,4.36e-05,10000000,1,0
17,92,40,52,19.98,22,10,12,20.5,0,0,0,0,14,2000000,51,10,1500,2000000,4.36e-05,10000000,1,0
18,92,44,48,19.73,20,9,11,22.25,0,0,0,0,14,2000000,51,10,1500,2000000,4.36e-05,10000000,1,0
19,85,44,41,20.07,18,11,7,18.39,0,0,0,0,14,2000000,51,10,1500,2000000,4.36e-05,10000000,1,0
20,83,42,41,19.95,19,11,8,19.42,0,0,0,0,14,2000000,51,10,1500,2000000,4.36e-05,10000000,1,0
