RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,276,173,103,17.54,175,91,84,17.21,33088,19552,30296,14336,2,10000000,51,10,3840,10000000,5.809999999999999e-05,5000000,1,0
2,272,170,102,18.88,171,89,82,17.65,36640,20064,30800,14832,2,10000000,51,10,3840,10000000,5.809999999999999e-05,5000000,1,0
3,275,170,105,18.57,178,93,85,17.78,36040,20392,30608,15488,2,10000000,51,10,3840,10000000,5.809999999999999e-05,5000000,1,0
4,284,178,106,17.73,167,92,75,17.79,38272,21176,30296,15672,2,10000000,51,10,3840,10000000,5.809999999999999e-05,5000000,1,0
5,284,169,115,17.55,171,89,82,17.77,34736,18720,30624,15192,2,10000000,51,10,3840,10000000,5.809999999999999e-05,5000000,1,0
6,281,165,116,18.57,183,87,96,17.96,33128,18152,29800,14344,2,10000000,51,10,3840,10000000,5.809999999999999e-05,5000000,1,0
7,284,166,118,18.06,172,87,85,17.83,41408,21864,29944,14488,2,10000000,51,10,3840,10000000,5.809999999999999e-05,5000000,1,0
8,285,163,122,18.24,176,88,88,18.74,35744,18912,33080,15368,2,10000000,51,10,3840,10000000,5.809999999999999e-05,5000000,1,0
9,286,159,127,17.93,181,91,90,18.03,33168,17368,32464,15504,2,10000000,51,10,3840,10000000,5.809999999999999e-05,5000000,1,0
10,279,164,115,17.96,167,87,80,17.49,32944,18128,30152,14560,2,10000000,51,10,3840,10000000,5.809999999999999e-05,5000000,1,0
11,277,161,116,18.03,165,90,75,17.07,36048,18840,30296,14696,2,10000000,51,10,3840,10000000,5.809999999999999e-05,5000000,1,0
12,292,167,125,17.41,160,86,74,17.59,37944,19288,30696,15304,2,10000000,51,10,3840,10000000,5.809999999999999e-05,5000000,1,0
13,281,163,118,17.9,174,91,83,18.2,40504,22440,32168,15456,2,10000000,51,10,3840,10000000,5.809999999999999e-05,5000000,1,0
14,294,174,120,16.71,177,91,86,17.32,36176,18856,31336,15320,2,10000000,51,10,3840,10000000,5.809999999999999e-05,5000000,1,0
15,274,161,113,17.97,171,84,87,17.6,32672,17784,28560,13544,2,10000000,51,10,3840,10000000,5.809999999999999e-05,5000000,1,0
16,284,165,119,18.28,176,87,89,18.26,35256,19840,32248,14488,2,10000000,51,10,3840,10000000,5.809999999999999e-05,5000000,1,0
17,277,156,121,18.98,170,84,86,17.91,39760,19752,30824,15152,2,10000000,51,10,3840,10000000,5.809999999999999e-05,5000000,1,0
18,270,158,112,18.97,172,88,84,18.62,36520,19936,31984,15664,2,10000000,51,10,3840,10000000,5.809999999999999e-05,5000000,1,0
19,270,159,111,18.81,169,85,84,17.95,38184,20320,31480,15376,2,10000000,51,10,3840,10000000,5.809999999999999e-05,5000000,1,0
20,287,174,113,17.86,168,86,82,17.69,39664,22576,30560,14376,2,10000000,51,10,3840,10000000,5.809999999999999e-05,5000000,1,0
