RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput (bits),DL_goodput (bits),UL_throughput (bits),UL_goodput (bits)
1,65,54,11,5.0,55,51,4,5.0,1392,1128,1760,1632
2,63,55,8,5.0,57,52,5,5.0,1352,1160,1824,1664
3,64,56,8,5.0,56,51,5,5.0,1384,1192,1792,1632
4,65,55,10,5.0,56,50,6,5.0,1400,1160,1792,1600
5,63,56,7,5.0,57,50,7,5.0,1352,1184,1824,1600
6,64,54,10,5.0,55,48,7,5.0,1368,1128,1760,1536
7,64,56,8,5.0,55,49,6,5.0,1376,1184,1760,1568
8,64,56,8,5.0,54,50,4,5.0,1376,1184,1728,1600
9,64,54,10,5.0,52,49,3,5.0,1368,1128,1664,1568
10,64,56,8,5.0,53,50,3,5.0,1376,1184,1696,1600
