RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,160,149,11,21.97,49,41,8,23.59,95928,87776,39136,31424,4,25000000,51,5,640,25000000,1.7700000000000003e-05,1000000,1,0
2,160,147,13,21.69,48,41,7,23.31,94392,86320,39008,31752,4,25000000,51,5,640,25000000,1.7700000000000003e-05,1000000,1,0
3,160,145,15,21.56,46,38,8,22.89,97536,85752,34688,27192,4,25000000,51,5,640,25000000,1.7700000000000003e-05,1000000,1,0
4,160,151,9,21.4,47,39,8,22.77,100112,90008,36344,28088,4,25000000,51,5,640,25000000,1.7700000000000003e-05,1000000,1,0
5,160,148,12,21.5,48,39,9,23.31,91976,83392,34944,27808,4,25000000,51,5,640,25000000,1.7700000000000003e-05,1000000,1,0
6,160,148,12,21.66,48,40,8,23.4,91088,81280,36640,28920,4,25000000,51,5,640,25000000,1.7700000000000003e-05,1000000,1,0
7,160,146,14,21.68,49,41,8,23.0,92352,80808,39048,31424,4,25000000,51,5,640,25000000,1.7700000000000003e-05,1000000,1,0
8,160,144,16,21.31,52,41,11,22.73,88240,77264,42800,31448,4,25000000,51,5,640,25000000,1.7700000000000003e-05,1000000,1,0
9,160,147,13,21.38,52,40,12,23.44,88080,79072,43576,31320,4,25000000,51,5,640,25000000,1.7700000000000003e-05,1000000,1,0
10,160,148,12,21.75,51,40,11,23.69,94128,84120,42656,31344,4,25000000,51,5,640,25000000,1.7700000000000003e-05,1000000,1,0
11,160,146,14,21.59,52,41,11,23.44,98704,87672,43112,31408,4,25000000,51,5,640,25000000,1.7700000000000003e-05,1000000,1,0
12,160,147,13,22.44,53,41,12,24.23,98752,87760,42616,30616,4,25000000,51,5,640,25000000,1.7700000000000003e-05,1000000,1,0
13,160,147,13,22.47,49,41,8,24.24,99488,87944,36528,29064,4,25000000,51,5,640,25000000,1.7700000000000003e-05,1000000,1,0
14,160,145,15,21.61,46,40,6,22.85,100616,86784,33080,26888,4,25000000,51,5,640,25000000,1.7700000000000003e-05,1000000,1,0
15,160,147,13,22.04,47,40,7,23.66,101192,88128,34280,27720,4,25000000,51,5,640,25000000,1.7700000000000003e-05,1000000,1,0
16,160,143,17,21.86,46,40,6,23.24,97632,81864,34824,28536,4,25000000,51,5,640,25000000,1.7700000000000003e-05,1000000,1,0
17,160,144,16,22.15,46,38,8,23.59,95728,82704,34128,27296,4,25000000,51,5,640,25000000,1.7700000000000003e-05,1000000,1,0
18,160,145,15,22.07,46,40,6,23.54,98264,85416,36104,29720,4,25000000,51,5,640,25000000,1.7700000000000003e-05,1000000,1,0
19,160,148,12,22.17,48,40,8,23.69,97544,88104,39360,30848,4,25000000,51,5,640,25000000,1.7700000000000003e-05,1000000,1,0
20,160,150,10,22.01,50,38,12,24.78,95704,87464,42888,30984,4,25000000,51,5,640,25000000,1.7700000000000003e-05,1000000,1,0
