,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps
314,15,149,112,37,20.04,45,40,5,21.07,90048,63432,29272,26464,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1800960.0,1268640.0,585440.0,529280.0
315,16,154,120,34,19.56,42,40,2,20.21,100624,71264,27008,26640,4,25000000,51,5,1600,25000000,9.65e-05,10000000,2012480.0,1425280.0,540160.0,532800.0
316,17,151,116,35,20.25,46,40,6,20.15,88584,63472,27064,25672,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1771680.0,1269440.0,541280.0,513440.0
317,18,155,119,36,20.24,51,40,11,20.98,90032,68240,30664,26352,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1800640.0,1364800.0,613280.0,527040.0
318,19,152,118,34,20.59,44,39,5,21.25,84288,63656,28336,24776,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1685760.0,1273120.0,566720.0,495520.0
319,20,154,117,37,19.97,48,39,9,20.67,103464,71312,29744,25152,4,25000000,51,5,1600,25000000,9.65e-05,10000000,2069280.0,1426240.0,594880.0,503040.0
320,1,48,16,32,23.0,11,3,8,26.27,0,0,0,0,14,2000000,51,5,2560,2000000,2.4000000000000004e-05,1000000,0.0,0.0,0.0,0.0
321,2,51,17,34,22.65,8,2,6,26.5,0,0,0,0,14,2000000,51,5,2560,2000000,2.4000000000000004e-05,1000000,0.0,0.0,0.0,0.0
322,3,44,16,28,23.09,11,3,8,26.64,0,0,0,0,14,2000000,51,5,2560,2000000,2.4000000000000004e-05,1000000,0.0,0.0,0.0,0.0
323,4,49,17,32,23.08,11,3,8,26.64,0,0,0,0,14,2000000,51,5,2560,2000000,2.4000000000000004e-05,1000000,0.0,0.0,0.0,0.0
324,5,43,15,28,23.33,11,3,8,24.45,0,0,0,0,14,2000000,51,5,2560,2000000,2.4000000000000004e-05,1000000,0.0,0.0,0.0,0.0
325,6,47,16,31,22.62,11,3,8,25.91,0,0,0,0,14,2000000,51,5,2560,2000000,2.4000000000000004e-05,1000000,0.0,0.0,0.0,0.0
326,7,44,14,30,23.32,7,2,5,25.86,0,0,0,0,14,2000000,51,5,2560,2000000,2.4000000000000004e-05,1000000,0.0,0.0,0.0,0.0
327,8,39,14,25,23.41,7,2,5,23.29,0,0,0,0,14,2000000,51,5,2560,2000000,2.4000000000000004e-05,1000000,0.0,0.0,0.0,0.0
328,9,44,14,30,23.77,7,2,5,26.43,0,0,0,0,14,2000000,51,5,2560,2000000,2.4000000000000004e-05,1000000,0.0,0.0,0.0,0.0
329,10,40,14,26,23.25,10,3,7,26.4,0,0,0,0,14,2000000,51,5,2560,2000000,2.4000000000000004e-05,1000000,0.0,0.0,0.0,0.0
330,11,44,15,29,23.59,10,3,7,24.0,0,0,0,0,14,2000000,51,5,2560,2000000,2.4000000000000004e-05,1000000,0.0,0.0,0.0,0.0
331,12,50,14,36,23.56,10,3,7,23.8,0,0,0,0,14,2000000,51,5,2560,2000000,2.4000000000000004e-05,1000000,0.0,0.0,0.0,0.0
332,13,41,14,27,23.0,10,3,7,23.6,0,0,0,0,14,2000000,51,5,2560,2000000,2.4000000000000004e-05,1000000,0.0,0.0,0.0,0.0
333,14,48,16,32,24.06,10,3,7,23.8,0,0,0,0,14,2000000,51,5,2560,2000000,2.4000000000000004e-05,1000000,0.0,0.0,0.0,0.0
334,15,41,16,25,23.24,9,3,6,26.33,0,0,0,0,14,2000000,51,5,2560,2000000,2.4000000000000004e-05,1000000,0.0,0.0,0.0,0.0
335,16,50,17,33,23.52,7,2,5,25.57,0,0,0,0,14,2000000,51,5,2560,2000000,2.4000000000000004e-05,1000000,0.0,0.0,0.0,0.0
336,17,46,16,30,23.65,7,2,5,26.71,0,0,0,0,14,2000000,51,5,2560,2000000,2.4000000000000004e-05,1000000,0.0,0.0,0.0,0.0
337,18,45,15,30,23.0,7,2,5,26.43,0,0,0,0,14,2000000,51,5,2560,2000000,2.4000000000000004e-05,1000000,0.0,0.0,0.0,0.0
338,19,44,16,28,23.41,7,2,5,26.71,0,0,0,0,14,2000000,51,5,2560,2000000,2.4000000000000004e-05,1000000,0.0,0.0,0.0,0.0
339,20,45,15,30,22.96,7,2,5,25.29,0,0,0,0,14,2000000,51,5,2560,2000000,2.4000000000000004e-05,1000000,0.0,0.0,0.0,0.0
