RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput (bits),DL_goodput (bits),UL_throughput (bits),UL_goodput (bits),TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,157,120,37,20.26,50,40,10,21.46,94520,70184,34576,26152,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1,0
2,149,108,41,20.56,50,38,12,20.88,80456,52960,33960,24664,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1,0
3,146,105,41,20.74,54,40,14,21.33,84104,56504,35256,25592,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1,0
4,148,106,42,20.57,51,39,12,21.0,77880,54280,34936,25576,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1,0
5,153,115,38,20.4,53,38,15,20.72,90400,65536,34528,24416,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1,0
6,147,105,42,20.52,50,40,10,20.88,85192,57448,37168,27688,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1,0
7,149,106,43,20.49,50,38,12,21.28,77944,51616,37096,26384,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1,0
8,153,106,47,20.03,48,39,9,21.06,74752,47336,34584,26264,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1,0
9,147,104,43,20.77,50,40,10,20.84,81056,53760,34064,26376,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1,0
10,151,109,42,20.73,51,39,12,22.41,80152,56936,37992,27544,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1,0
11,151,106,45,21.05,52,41,11,21.62,82256,55472,36264,27416,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1,0
12,157,115,42,20.29,47,39,8,21.4,86256,63056,32664,26984,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1,0
13,149,114,35,20.87,48,39,9,22.5,88824,65912,32488,26216,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1,0
14,156,120,36,19.9,47,39,8,19.87,102496,69968,30248,26904,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1,0
15,149,112,37,20.04,45,40,5,21.07,90048,63432,29272,26464,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1,0
16,154,120,34,19.56,42,40,2,20.21,100624,71264,27008,26640,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1,0
17,151,116,35,20.25,46,40,6,20.15,88584,63472,27064,25672,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1,0
18,155,119,36,20.24,51,40,11,20.98,90032,68240,30664,26352,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1,0
19,152,118,34,20.59,44,39,5,21.25,84288,63656,28336,24776,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1,0
20,154,117,37,19.97,48,39,9,20.67,103464,71312,29744,25152,4,25000000,51,5,1600,25000000,9.65e-05,10000000,1,0
