RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,320,278,42,21.85,187,148,39,22.61,48744,42040,54576,41768,2,5000000,51,10,1250,5000000,2.89e-05,20000000,1,0
2,320,275,45,21.51,187,151,36,21.85,47312,40768,52584,41448,2,5000000,51,10,1250,5000000,2.89e-05,20000000,1,0
3,320,277,43,21.74,182,146,36,22.67,46928,40816,53184,41488,2,5000000,51,10,1250,5000000,2.89e-05,20000000,1,0
4,320,277,43,21.74,183,153,30,21.81,50520,42184,52080,42224,2,5000000,51,10,1250,5000000,2.89e-05,20000000,1,0
5,320,276,44,21.81,182,150,32,21.95,47560,40864,51216,41088,2,5000000,51,10,1250,5000000,2.89e-05,20000000,1,0
6,320,278,42,21.53,183,149,34,22.18,44768,38976,52184,41400,2,5000000,51,10,1250,5000000,2.89e-05,20000000,1,0
7,320,273,47,21.95,191,152,39,22.38,45312,38504,55072,42712,2,5000000,51,10,1250,5000000,2.89e-05,20000000,1,0
8,320,274,46,21.42,185,154,31,21.63,44168,37760,52280,42368,2,5000000,51,10,1250,5000000,2.89e-05,20000000,1,0
9,318,266,52,21.81,187,151,36,22.14,44272,36800,52872,41984,2,5000000,51,10,1250,5000000,2.89e-05,20000000,1,0
10,320,265,55,21.67,193,152,41,21.93,44800,36216,54328,41680,2,5000000,51,10,1250,5000000,2.89e-05,20000000,1,0
11,320,267,53,21.82,191,145,46,22.52,45112,37320,55136,40680,2,5000000,51,10,1250,5000000,2.89e-05,20000000,1,0
12,320,264,56,21.97,193,149,44,22.33,45232,36544,54128,40904,2,5000000,51,10,1250,5000000,2.89e-05,20000000,1,0
13,320,264,56,21.96,187,145,42,22.49,46136,37496,53376,40536,2,5000000,51,10,1250,5000000,2.89e-05,20000000,1,0
14,320,269,51,21.95,194,154,40,22.26,47664,38672,55616,42848,2,5000000,51,10,1250,5000000,2.89e-05,20000000,1,0
15,320,269,51,21.87,196,149,47,22.54,48200,39904,56056,41632,2,5000000,51,10,1250,5000000,2.89e-05,20000000,1,0
16,319,271,48,21.57,186,148,38,22.11,45160,37832,53088,41384,2,5000000,51,10,1250,5000000,2.89e-05,20000000,1,0
17,320,277,43,21.8,192,146,46,22.64,46160,39064,55880,41112,2,5000000,51,10,1250,5000000,2.89e-05,20000000,1,0
18,320,281,39,21.41,186,148,38,21.98,44960,39216,52096,40664,2,5000000,51,10,1250,5000000,2.89e-05,20000000,1,0
19,318,282,36,21.8,188,146,42,22.4,45536,39832,52848,40248,2,5000000,51,10,1250,5000000,2.89e-05,20000000,1,0
20,320,278,42,21.55,185,147,38,21.81,45848,39352,51376,39872,2,5000000,51,10,1250,5000000,2.89e-05,20000000,1,0
