RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,173,100,73,23.84,44,26,18,24.64,285784,158600,74952,46320,7,1000000,51,10,1280,1000000,3.41e-05,2000000,1,0
2,179,99,80,24.22,43,28,15,24.65,302024,160936,72760,48376,7,1000000,51,10,1280,1000000,3.41e-05,2000000,1,0
3,185,104,81,23.91,39,27,12,24.18,314912,164696,67752,48456,7,1000000,51,10,1280,1000000,3.41e-05,2000000,1,0
4,183,103,80,24.27,40,27,13,24.62,312264,165464,69552,47840,7,1000000,51,10,1280,1000000,3.41e-05,2000000,1,0
5,186,106,80,24.02,40,27,13,24.6,313176,167320,68552,47224,7,1000000,51,10,1280,1000000,3.41e-05,2000000,1,0
6,183,106,77,23.87,47,26,21,24.47,308976,169128,71664,42400,7,1000000,51,10,1280,1000000,3.41e-05,2000000,1,0
7,169,100,69,23.68,42,25,17,24.45,286896,160272,73536,43600,7,1000000,51,10,1280,1000000,3.41e-05,2000000,1,0
8,181,103,78,23.87,47,27,20,24.6,310128,164536,82592,46632,7,1000000,51,10,1280,1000000,3.41e-05,2000000,1,0
9,178,103,75,23.59,48,26,22,24.48,298024,158136,86064,45752,7,1000000,51,10,1280,1000000,3.41e-05,2000000,1,0
10,170,99,71,23.68,47,24,23,25.06,286984,153248,88272,45680,7,1000000,51,10,1280,1000000,3.41e-05,2000000,1,0
11,181,100,81,24.37,48,26,22,24.83,305688,160056,86264,46464,7,1000000,51,10,1280,1000000,3.41e-05,2000000,1,0
12,179,105,74,23.81,54,28,26,24.69,301816,164840,96816,49912,7,1000000,51,10,1280,1000000,3.41e-05,2000000,1,0
13,184,105,79,24.03,48,27,21,25.35,302600,164760,87032,49960,7,1000000,51,10,1280,1000000,3.41e-05,2000000,1,0
14,174,101,73,23.74,57,28,29,25.3,289824,157520,102688,52368,7,1000000,51,10,1280,1000000,3.41e-05,2000000,1,0
15,175,104,71,24.33,48,25,23,24.98,302616,171320,89840,46992,7,1000000,51,10,1280,1000000,3.41e-05,2000000,1,0
16,181,101,80,23.93,52,26,26,24.6,290832,160152,95392,47720,7,1000000,51,10,1280,1000000,3.41e-05,2000000,1,0
17,186,100,86,23.73,52,26,26,24.21,300200,158448,87256,46136,7,1000000,51,10,1280,1000000,3.41e-05,2000000,1,0
18,179,101,78,23.7,51,25,26,24.39,292336,159088,86800,45744,7,1000000,51,10,1280,1000000,3.41e-05,2000000,1,0
19,183,99,84,23.84,51,26,25,24.67,300256,155664,83184,46568,7,1000000,51,10,1280,1000000,3.41e-05,2000000,1,0
20,179,103,76,23.77,39,26,13,24.95,299816,163912,71880,46656,7,1000000,51,10,1280,1000000,3.41e-05,2000000,1,0
