RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput (bits),DL_goodput (bits),UL_throughput (bits),UL_goodput (bits),TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,116,42,74,19.74,42,15,27,16.05,38536,16008,20160,5952,4,0,51,5,5000,0,7e-05,20000000,1,0
2,112,39,73,19.64,45,16,29,16.38,48880,15688,18616,5792,4,0,51,5,5000,0,7e-05,20000000,1,0
3,111,39,72,19.02,37,14,23,18.0,41208,16088,20368,5728,4,0,51,5,5000,0,7e-05,20000000,1,0
4,115,42,73,19.09,42,16,26,15.29,66568,22784,16928,6288,4,0,51,5,5000,0,7e-05,20000000,1,0
5,121,43,78,18.44,48,17,31,15.23,47000,15544,17944,6008,4,0,51,5,5000,0,7e-05,20000000,1,0
6,115,40,75,19.5,36,15,21,16.33,48424,15536,13600,5576,4,0,51,5,5000,0,7e-05,20000000,1,0
7,125,44,81,17.63,35,16,19,16.74,38656,13408,17624,6016,4,0,51,5,5000,0,7e-05,20000000,1,0
8,126,48,78,18.59,39,14,25,15.64,51392,16216,17536,5736,4,0,51,5,5000,0,7e-05,20000000,1,0
9,117,43,74,18.36,43,15,28,16.7,42808,17640,22072,5888,4,0,51,5,5000,0,7e-05,20000000,1,0
10,112,43,69,19.36,36,15,21,15.36,81464,27624,16928,5936,4,0,51,5,5000,0,7e-05,20000000,1,0
11,121,45,76,18.07,41,14,27,17.8,50128,17976,21240,5664,4,0,51,5,5000,0,7e-05,20000000,1,0
12,119,41,78,19.59,40,15,25,16.42,48304,17104,15504,5688,4,0,51,5,5000,0,7e-05,20000000,1,0
13,122,42,80,18.72,40,14,26,16.95,40752,13592,15248,4944,4,0,51,5,5000,0,7e-05,20000000,1,0
14,112,41,71,19.61,44,14,30,16.98,50024,19752,19080,5096,4,0,51,5,5000,0,7e-05,20000000,1,0
15,115,42,73,20.25,38,14,24,16.5,52104,18360,19296,5192,4,0,51,5,5000,0,7e-05,20000000,1,0
16,120,45,75,18.27,42,15,27,15.74,47776,17832,17848,5072,4,0,51,5,5000,0,7e-05,20000000,1,0
17,119,44,75,18.87,43,15,28,16.86,49776,16616,16784,5168,4,0,51,5,5000,0,7e-05,20000000,1,0
18,120,44,76,18.25,44,13,31,17.3,50488,18744,17136,4600,4,0,51,5,5000,0,7e-05,20000000,1,0
19,118,42,76,18.06,39,15,24,16.54,52240,15944,16208,5280,4,0,51,5,5000,0,7e-05,20000000,1,0
20,111,36,75,18.95,37,13,24,18.35,49616,17424,16392,4712,4,0,51,5,5000,0,7e-05,20000000,1,0
