RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,303,223,80,19.91,157,116,41,22.02,43144,29464,44896,32472,2,1000000,51,10,2500,1000000,7.499999999999999e-06,5000000,1,0
2,302,230,72,19.7,161,117,44,22.18,42472,30496,43936,32424,2,1000000,51,10,2500,1000000,7.499999999999999e-06,5000000,1,0
3,301,230,71,19.96,154,117,37,22.49,45576,31960,42144,32744,2,1000000,51,10,2500,1000000,7.499999999999999e-06,5000000,1,0
4,304,238,66,19.72,165,116,49,22.44,41816,32144,47288,32648,2,1000000,51,10,2500,1000000,7.499999999999999e-06,5000000,1,0
5,309,230,79,19.49,165,111,54,22.55,46744,33208,45992,30680,2,1000000,51,10,2500,1000000,7.499999999999999e-06,5000000,1,0
6,306,233,73,19.54,162,113,49,22.91,43032,31368,46104,32104,2,1000000,51,10,2500,1000000,7.499999999999999e-06,5000000,1,0
7,304,226,78,19.52,164,117,47,22.3,40608,29264,45192,32528,2,1000000,51,10,2500,1000000,7.499999999999999e-06,5000000,1,0
8,304,230,74,19.56,165,113,52,22.37,40592,30224,46776,32136,2,1000000,51,10,2500,1000000,7.499999999999999e-06,5000000,1,0
9,303,228,75,20.13,172,114,58,22.73,44632,32064,49448,33360,2,1000000,51,10,2500,1000000,7.499999999999999e-06,5000000,1,0
10,300,226,74,19.71,166,115,51,21.8,42504,31560,46736,32088,2,1000000,51,10,2500,1000000,7.499999999999999e-06,5000000,1,0
11,300,226,74,19.99,167,113,54,22.77,40248,30456,47312,31688,2,1000000,51,10,2500,1000000,7.499999999999999e-06,5000000,1,0
12,297,231,66,20.02,161,113,48,23.01,41296,31816,46832,32392,2,1000000,51,10,2500,1000000,7.499999999999999e-06,5000000,1,0
13,303,226,77,19.48,160,113,47,22.46,40328,29696,45336,31288,2,1000000,51,10,2500,1000000,7.499999999999999e-06,5000000,1,0
14,300,234,66,19.58,158,115,43,22.33,42776,32992,44288,31928,2,1000000,51,10,2500,1000000,7.499999999999999e-06,5000000,1,0
15,298,231,67,19.51,155,116,39,21.74,37960,29624,43344,31720,2,1000000,51,10,2500,1000000,7.499999999999999e-06,5000000,1,0
16,305,224,81,20.12,163,116,47,22.73,41408,30536,46464,32816,2,1000000,51,10,2500,1000000,7.499999999999999e-06,5000000,1,0
17,301,218,83,19.77,157,115,42,22.06,39440,28192,44216,32000,2,1000000,51,10,2500,1000000,7.499999999999999e-06,5000000,1,0
18,304,221,83,19.57,153,114,39,21.84,40520,28296,41712,31664,2,1000000,51,10,2500,1000000,7.499999999999999e-06,5000000,1,0
19,303,221,82,19.8,162,115,47,22.81,40800,29128,45120,32208,2,1000000,51,10,2500,1000000,7.499999999999999e-06,5000000,1,0
20,305,223,82,19.72,158,111,47,22.25,41016,28952,43312,31008,2,1000000,51,10,2500,1000000,7.499999999999999e-06,5000000,1,0
