RNTIs_DL,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL
1,121,94,27,5,122,100,22,5
2,126,103,23,5,129,101,28,5
3,151,123,28,5,116,100,16,5
4,159,124,35,5,120,100,20,5
5,128,99,29,5,116,98,18,5
6,125,107,18,5,127,102,25,5
7,134,105,29,5,120,95,25,5
8,101,85,16,5,116,98,18,5
9,147,118,29,5,117,93,24,5
10,159,134,25,5,118,98,20,5
11,147,118,29,5,124,98,26,5
12,155,128,27,5,120,100,20,5
13,117,96,21,5,121,96,25,5
14,154,117,37,5,125,99,26,5
15,120,98,22,5,127,98,29,5
