RNTIs_DL,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL
1,105,57,48,5,90,58,32,5
2,117,57,60,5,90,60,30,5
3,117,63,54,5,89,60,29,5
4,126,63,63,5,89,60,29,5
5,122,61,61,5,107,68,39,5
6,126,62,64,5,82,57,25,5
7,121,62,59,5,76,50,26,5
8,113,59,54,5,96,64,32,5
9,124,60,64,5,92,63,29,5
10,116,57,59,5,85,59,26,5
