RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,81,38,43,18.0,26,8,18,15.31,0,0,0,0,14,10000000,51,10,3750,10000000,5.8399999999999997e-05,2000000,1,0
2,80,37,43,17.75,25,7,18,15.44,0,0,0,0,14,10000000,51,10,3750,10000000,5.8399999999999997e-05,2000000,1,0
3,74,34,40,17.36,25,7,18,15.8,0,0,0,0,14,10000000,51,10,3750,10000000,5.8399999999999997e-05,2000000,1,0
4,75,34,41,16.81,19,6,13,11.11,0,0,0,0,14,10000000,51,10,3750,10000000,5.8399999999999997e-05,2000000,1,0
5,79,36,43,17.29,28,8,20,14.21,0,0,0,0,14,10000000,51,10,3750,10000000,5.8399999999999997e-05,2000000,1,0
6,78,34,44,17.85,24,7,17,12.21,0,0,0,0,14,10000000,51,10,3750,10000000,5.8399999999999997e-05,2000000,1,0
7,85,38,47,19.05,27,7,20,18.74,0,0,0,0,14,10000000,51,10,3750,10000000,5.8399999999999997e-05,2000000,1,0
8,82,35,47,18.38,23,6,17,17.09,0,0,0,0,14,10000000,51,10,3750,10000000,5.8399999999999997e-05,2000000,1,0
9,77,36,41,18.0,20,6,14,16.95,0,0,0,0,14,10000000,51,10,3750,10000000,5.8399999999999997e-05,2000000,1,0
10,85,36,49,18.39,26,7,19,16.88,0,0,0,0,14,10000000,51,10,3750,10000000,5.8399999999999997e-05,2000000,1,0
11,82,34,48,18.2,22,6,16,16.86,0,0,0,0,14,10000000,51,10,3750,10000000,5.8399999999999997e-05,2000000,1,0
12,79,32,47,19.44,21,6,15,13.76,0,0,0,0,14,10000000,51,10,3750,10000000,5.8399999999999997e-05,2000000,1,0
13,82,35,47,18.51,25,7,18,14.88,0,0,0,0,14,10000000,51,10,3750,10000000,5.8399999999999997e-05,2000000,1,0
14,77,36,41,17.12,20,6,14,13.25,0,0,0,0,14,10000000,51,10,3750,10000000,5.8399999999999997e-05,2000000,1,0
15,77,36,41,17.74,23,7,16,17.26,0,0,0,0,14,10000000,51,10,3750,10000000,5.8399999999999997e-05,2000000,1,0
16,81,38,43,18.57,19,5,14,18.47,0,0,0,0,14,10000000,51,10,3750,10000000,5.8399999999999997e-05,2000000,1,0
17,76,33,43,18.41,24,7,17,14.12,0,0,0,0,14,10000000,51,10,3750,10000000,5.8399999999999997e-05,2000000,1,0
18,87,36,51,19.66,21,6,15,15.24,0,0,0,0,14,10000000,51,10,3750,10000000,5.8399999999999997e-05,2000000,1,0
19,78,34,44,18.44,24,7,17,14.29,0,0,0,0,14,10000000,51,10,3750,10000000,5.8399999999999997e-05,2000000,1,0
20,83,36,47,19.2,20,6,14,15.85,0,0,0,0,14,10000000,51,10,3750,10000000,5.8399999999999997e-05,2000000,1,0
