RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput (bits),DL_goodput (bits),UL_throughput (bits),UL_goodput (bits),TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,46,18,28,21.52,10,4,6,21.1,0,0,0,0,14,5000000,51,5,1600,5000000,9.4e-05,5000000,1,0
2,46,18,28,22.52,13,5,8,22.38,0,0,0,0,14,5000000,51,5,1600,5000000,9.4e-05,5000000,1,0
3,47,20,27,22.0,12,4,8,24.08,0,0,0,0,14,5000000,51,5,1600,5000000,9.4e-05,5000000,1,0
4,46,18,28,21.76,12,4,8,23.75,0,0,0,0,14,5000000,51,5,1600,5000000,9.4e-05,5000000,1,0
5,45,19,26,23.33,12,4,8,23.75,0,0,0,0,14,5000000,51,5,1600,5000000,9.4e-05,5000000,1,0
6,46,19,27,23.35,12,4,8,24.42,0,0,0,0,14,5000000,51,5,1600,5000000,9.4e-05,5000000,1,0
7,45,16,29,24.04,7,3,4,23.29,0,0,0,0,14,5000000,51,5,1600,5000000,9.4e-05,5000000,1,0
8,46,17,29,23.5,11,4,7,23.73,0,0,0,0,14,5000000,51,5,1600,5000000,9.4e-05,5000000,1,0
9,47,16,31,23.89,11,4,7,23.64,0,0,0,0,14,5000000,51,5,1600,5000000,9.4e-05,5000000,1,0
10,47,16,31,23.53,7,3,4,22.0,0,0,0,0,14,5000000,51,5,1600,5000000,9.4e-05,5000000,1,0
11,52,18,34,24.29,10,4,6,24.1,0,0,0,0,14,5000000,51,5,1600,5000000,9.4e-05,5000000,1,0
12,46,16,30,23.87,6,3,3,21.83,0,0,0,0,14,5000000,51,5,1600,5000000,9.4e-05,5000000,1,0
13,43,17,26,23.49,9,4,5,23.33,0,0,0,0,14,5000000,51,5,1600,5000000,9.4e-05,5000000,1,0
14,40,17,23,22.8,8,3,5,22.62,0,0,0,0,14,5000000,51,5,1600,5000000,9.4e-05,5000000,1,0
15,45,19,26,23.6,8,3,5,23.12,0,0,0,0,14,5000000,51,5,1600,5000000,9.4e-05,5000000,1,0
16,46,18,28,23.76,9,4,5,23.56,0,0,0,0,14,5000000,51,5,1600,5000000,9.4e-05,5000000,1,0
17,42,17,25,23.31,9,3,6,23.78,0,0,0,0,14,5000000,51,5,1600,5000000,9.4e-05,5000000,1,0
18,41,18,23,22.02,9,4,5,19.78,0,0,0,0,14,5000000,51,5,1600,5000000,9.4e-05,5000000,1,0
19,46,18,28,23.11,9,3,6,23.33,0,0,0,0,14,5000000,51,5,1600,5000000,9.4e-05,5000000,1,0
20,40,17,23,22.2,9,4,5,20.89,0,0,0,0,14,5000000,51,5,1600,5000000,9.4e-05,5000000,1,0
