RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput (bits),DL_goodput (bits),UL_throughput (bits),UL_goodput (bits),TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,48,25,23,24.33,13,7,6,26.69,0,0,0,0,14,0,51,5,1200,0,4.77e-05,1000000,1,0
2,42,26,16,24.19,13,7,6,26.69,0,0,0,0,14,0,51,5,1200,0,4.77e-05,1000000,1,0
3,44,23,21,23.16,13,7,6,25.77,0,0,0,0,14,0,51,5,1200,0,4.77e-05,1000000,1,0
4,46,24,22,23.43,13,7,6,25.77,0,0,0,0,14,0,51,5,1200,0,4.77e-05,1000000,1,0
5,51,24,27,24.25,13,4,9,25.92,0,0,0,0,14,0,51,5,1200,0,4.77e-05,1000000,1,0
6,51,22,29,24.76,11,5,6,26.45,0,0,0,0,14,0,51,5,1200,0,4.77e-05,1000000,1,0
7,50,21,29,24.52,12,6,6,26.33,0,0,0,0,14,0,51,5,1200,0,4.77e-05,1000000,1,0
8,53,21,32,24.62,11,5,6,26.45,0,0,0,0,14,0,51,5,1200,0,4.77e-05,1000000,1,0
9,52,20,32,24.12,12,6,6,26.33,0,0,0,0,14,0,51,5,1200,0,4.77e-05,1000000,1,0
10,48,20,28,23.96,13,7,6,25.62,0,0,0,0,14,0,51,5,1200,0,4.77e-05,1000000,1,0
11,50,22,28,24.16,13,7,6,26.08,0,0,0,0,14,0,51,5,1200,0,4.77e-05,1000000,1,0
12,50,22,28,24.76,12,6,6,26.33,0,0,0,0,14,0,51,5,1200,0,4.77e-05,1000000,1,0
13,48,21,27,24.25,9,6,3,26.33,0,0,0,0,14,0,51,5,1200,0,4.77e-05,1000000,1,0
14,46,22,24,23.72,7,7,0,25.86,0,0,0,0,14,0,51,5,1200,0,4.77e-05,1000000,1,0
15,53,23,30,24.43,7,7,0,26.14,0,0,0,0,14,0,51,5,1200,0,4.77e-05,1000000,1,0
16,49,24,25,24.27,7,7,0,26.14,0,0,0,0,14,0,51,5,1200,0,4.77e-05,1000000,1,0
17,43,24,19,23.98,7,7,0,26.71,0,0,0,0,14,0,51,5,1200,0,4.77e-05,1000000,1,0
18,47,24,23,24.53,7,7,0,27.0,0,0,0,0,14,0,51,5,1200,0,4.77e-05,1000000,1,0
19,47,25,22,24.45,7,7,0,26.71,0,0,0,0,14,0,51,5,1200,0,4.77e-05,1000000,1,0
20,47,24,23,24.36,9,6,3,26.33,0,0,0,0,14,0,51,5,1200,0,4.77e-05,1000000,1,0
