RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,49,20,29,18.67,12,4,8,22.0,0,0,0,0,14,25000000,51,5,2400,25000000,2.16e-05,10000000,1,0
2,48,19,29,19.1,12,3,9,22.5,0,0,0,0,14,25000000,51,5,2400,25000000,2.16e-05,10000000,1,0
3,46,17,29,19.72,12,4,8,22.25,0,0,0,0,14,25000000,51,5,2400,25000000,2.16e-05,10000000,1,0
4,51,21,30,19.67,11,4,7,19.18,0,0,0,0,14,25000000,51,5,2400,25000000,2.16e-05,10000000,1,0
5,52,19,33,19.85,12,3,9,21.17,0,0,0,0,14,25000000,51,5,2400,25000000,2.16e-05,10000000,1,0
6,45,18,27,19.56,11,3,8,21.55,0,0,0,0,14,25000000,51,5,2400,25000000,2.16e-05,10000000,1,0
7,49,20,29,20.43,9,3,6,17.56,0,0,0,0,14,25000000,51,5,2400,25000000,2.16e-05,10000000,1,0
8,37,19,18,18.92,11,3,8,21.55,0,0,0,0,14,25000000,51,5,2400,25000000,2.16e-05,10000000,1,0
9,51,21,30,19.53,10,3,7,23.9,0,0,0,0,14,25000000,51,5,2400,25000000,2.16e-05,10000000,1,0
10,50,20,30,20.18,12,3,9,22.5,0,0,0,0,14,25000000,51,5,2400,25000000,2.16e-05,10000000,1,0
11,49,19,30,19.78,9,3,6,26.78,0,0,0,0,14,25000000,51,5,2400,25000000,2.16e-05,10000000,1,0
12,52,18,34,20.13,12,3,9,17.58,0,0,0,0,14,25000000,51,5,2400,25000000,2.16e-05,10000000,1,0
13,47,18,29,20.62,12,4,8,20.25,0,0,0,0,14,25000000,51,5,2400,25000000,2.16e-05,10000000,1,0
14,55,19,36,20.67,10,3,7,18.3,0,0,0,0,14,25000000,51,5,2400,25000000,2.16e-05,10000000,1,0
15,48,20,28,19.75,9,3,6,17.44,0,0,0,0,14,25000000,51,5,2400,25000000,2.16e-05,10000000,1,0
16,50,20,30,19.62,9,3,6,20.33,0,0,0,0,14,25000000,51,5,2400,25000000,2.16e-05,10000000,1,0
17,45,19,26,19.38,9,3,6,20.56,0,0,0,0,14,25000000,51,5,2400,25000000,2.16e-05,10000000,1,0
18,45,18,27,19.49,8,2,6,20.0,0,0,0,0,14,25000000,51,5,2400,25000000,2.16e-05,10000000,1,0
19,48,20,28,19.42,8,2,6,19.88,0,0,0,0,14,25000000,51,5,2400,25000000,2.16e-05,10000000,1,0
20,45,17,28,18.33,8,2,6,19.5,0,0,0,0,14,25000000,51,5,2400,25000000,2.16e-05,10000000,1,0
