RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,180,111,69,25.02,42,33,9,26.05,318776,194304,82352,64232,7,5000000,51,10,1500,5000000,4.990000000000001e-05,2000000,1,0
2,189,111,78,24.98,44,36,8,26.0,334816,193360,85952,69248,7,5000000,51,10,1500,5000000,4.990000000000001e-05,2000000,1,0
3,191,114,77,25.6,44,35,9,26.82,342800,203352,88000,68632,7,5000000,51,10,1500,5000000,4.990000000000001e-05,2000000,1,0
4,180,113,67,25.22,47,31,16,26.23,319912,198176,94256,61104,7,5000000,51,10,1500,5000000,4.990000000000001e-05,2000000,1,0
5,181,115,66,25.11,48,34,14,26.31,326256,204456,96864,67280,7,5000000,51,10,1500,5000000,4.990000000000001e-05,2000000,1,0
6,190,118,72,25.22,46,35,11,26.22,336376,207640,87120,66072,7,5000000,51,10,1500,5000000,4.990000000000001e-05,2000000,1,0
7,176,113,63,24.98,49,34,15,26.02,314200,199496,94752,63880,7,5000000,51,10,1500,5000000,4.990000000000001e-05,2000000,1,0
8,184,115,69,25.19,53,35,18,26.21,322408,202288,107624,70168,7,5000000,51,10,1500,5000000,4.990000000000001e-05,2000000,1,0
9,175,115,60,25.15,53,33,20,26.32,307976,203904,106952,65192,7,5000000,51,10,1500,5000000,4.990000000000001e-05,2000000,1,0
10,172,115,57,24.93,53,34,19,25.87,304896,201472,106368,66120,7,5000000,51,10,1500,5000000,4.990000000000001e-05,2000000,1,0
11,181,113,68,24.9,49,32,17,25.94,310968,196280,99304,63616,7,5000000,51,10,1500,5000000,4.990000000000001e-05,2000000,1,0
12,180,118,62,25.28,52,34,18,26.38,324432,209592,103872,65776,7,5000000,51,10,1500,5000000,4.990000000000001e-05,2000000,1,0
13,181,117,64,25.34,52,33,19,26.5,324504,208312,102400,63784,7,5000000,51,10,1500,5000000,4.990000000000001e-05,2000000,1,0
14,181,114,67,24.99,51,32,19,26.1,309928,196776,100656,63320,7,5000000,51,10,1500,5000000,4.990000000000001e-05,2000000,1,0
15,191,118,73,25.53,51,30,21,26.65,348336,211592,103192,61392,7,5000000,51,10,1500,5000000,4.990000000000001e-05,2000000,1,0
16,183,113,70,25.28,47,34,13,26.11,332536,200800,91320,65744,7,5000000,51,10,1500,5000000,4.990000000000001e-05,2000000,1,0
17,190,116,74,25.3,49,34,15,26.41,347008,204824,97576,68368,7,5000000,51,10,1500,5000000,4.990000000000001e-05,2000000,1,0
18,177,115,62,25.0,50,35,15,25.92,315824,202144,102480,71352,7,5000000,51,10,1500,5000000,4.990000000000001e-05,2000000,1,0
19,184,115,69,25.5,47,35,12,26.45,331368,204864,93048,70296,7,5000000,51,10,1500,5000000,4.990000000000001e-05,2000000,1,0
20,187,113,74,25.75,41,35,6,26.61,341880,202096,83816,70904,7,5000000,51,10,1500,5000000,4.990000000000001e-05,2000000,1,0
