RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput (bits),DL_goodput (bits),UL_throughput (bits),UL_goodput (bits),TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,99,73,26,22.42,26,17,9,23.58,151896,107824,46664,27680,7,10000000,51,5,625,10000000,7.7e-05,10000000,1,0
2,96,68,28,21.62,25,18,7,22.72,147216,97192,43888,29336,7,10000000,51,5,625,10000000,7.7e-05,10000000,1,0
3,101,72,29,22.17,25,18,7,23.04,156440,105864,43664,28984,7,10000000,51,5,625,10000000,7.7e-05,10000000,1,0
4,98,71,27,22.03,25,16,9,24.12,152616,105200,43384,25840,7,10000000,51,5,625,10000000,7.7e-05,10000000,1,0
5,94,69,25,21.62,23,18,5,23.04,142792,100024,38512,28296,7,10000000,51,5,625,10000000,7.7e-05,10000000,1,0
6,95,69,26,22.22,21,17,4,22.76,152176,103184,32880,24272,7,10000000,51,5,625,10000000,7.7e-05,10000000,1,0
7,97,71,26,22.13,22,15,7,22.68,152448,104792,37528,24096,7,10000000,51,5,625,10000000,7.7e-05,10000000,1,0
8,94,70,24,21.7,22,17,5,22.36,146136,101160,37808,27304,7,10000000,51,5,625,10000000,7.7e-05,10000000,1,0
9,93,67,26,21.49,22,17,5,22.23,138808,95104,37592,27088,7,10000000,51,5,625,10000000,7.7e-05,10000000,1,0
10,94,69,25,22.45,22,17,5,22.95,142152,103680,37336,26704,7,10000000,51,5,625,10000000,7.7e-05,10000000,1,0
11,91,70,21,21.67,20,15,5,25.05,134600,101728,36376,25744,7,10000000,51,5,625,10000000,7.7e-05,10000000,1,0
12,89,71,18,21.78,25,16,9,24.12,136896,105952,43568,25832,7,10000000,51,5,625,10000000,7.7e-05,10000000,1,0
13,85,70,15,21.68,25,16,9,23.36,128992,106256,46048,26680,7,10000000,51,5,625,10000000,7.7e-05,10000000,1,0
14,93,72,21,21.72,22,16,6,23.05,137232,105736,39640,27240,7,10000000,51,5,625,10000000,7.7e-05,10000000,1,0
15,86,71,15,21.7,23,17,6,22.96,130936,104096,42080,29680,7,10000000,51,5,625,10000000,7.7e-05,10000000,1,0
16,89,71,18,22.03,23,17,6,22.96,135088,104560,41120,29328,7,10000000,51,5,625,10000000,7.7e-05,10000000,1,0
17,87,72,15,20.92,24,17,7,21.38,127208,101336,40640,26504,7,10000000,51,5,625,10000000,7.7e-05,10000000,1,0
18,92,70,22,21.73,23,17,6,21.78,134168,100104,40168,27256,7,10000000,51,5,625,10000000,7.7e-05,10000000,1,0
19,90,72,18,21.7,21,17,4,22.29,131880,104600,35504,27280,7,10000000,51,5,625,10000000,7.7e-05,10000000,1,0
20,94,70,24,21.9,25,17,8,23.12,142136,101944,44400,28112,7,10000000,51,5,625,10000000,7.7e-05,10000000,1,0
