RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,87,30,57,22.09,26,7,19,18.96,0,0,0,0,14,5000000,51,10,4800,5000000,6e-07,2000000,1,0
2,82,30,52,21.73,21,6,15,21.19,0,0,0,0,14,5000000,51,10,4800,5000000,6e-07,2000000,1,0
3,89,33,56,22.39,24,6,18,21.17,0,0,0,0,14,5000000,51,10,4800,5000000,6e-07,2000000,1,0
4,87,33,54,22.28,26,7,19,21.35,0,0,0,0,14,5000000,51,10,4800,5000000,6e-07,2000000,1,0
5,91,31,60,22.52,25,7,18,20.2,0,0,0,0,14,5000000,51,10,4800,5000000,6e-07,2000000,1,0
6,93,33,60,22.59,24,7,17,19.92,0,0,0,0,14,5000000,51,10,4800,5000000,6e-07,2000000,1,0
7,85,29,56,21.85,24,7,17,21.88,0,0,0,0,14,5000000,51,10,4800,5000000,6e-07,2000000,1,0
8,85,30,55,21.58,19,5,14,19.47,0,0,0,0,14,5000000,51,10,4800,5000000,6e-07,2000000,1,0
9,86,30,56,20.97,24,6,18,19.29,0,0,0,0,14,5000000,51,10,4800,5000000,6e-07,2000000,1,0
10,86,32,54,22.07,27,7,20,21.81,0,0,0,0,14,5000000,51,10,4800,5000000,6e-07,2000000,1,0
11,87,32,55,21.21,23,6,17,20.61,0,0,0,0,14,5000000,51,10,4800,5000000,6e-07,2000000,1,0
12,89,30,59,22.63,23,6,17,19.48,0,0,0,0,14,5000000,51,10,4800,5000000,6e-07,2000000,1,0
13,96,29,67,22.56,19,5,14,20.79,0,0,0,0,14,5000000,51,10,4800,5000000,6e-07,2000000,1,0
14,94,34,60,22.4,19,5,14,20.79,0,0,0,0,14,5000000,51,10,4800,5000000,6e-07,2000000,1,0
15,75,28,47,21.61,23,6,17,22.91,0,0,0,0,14,5000000,51,10,4800,5000000,6e-07,2000000,1,0
16,81,29,52,21.67,20,5,15,20.55,0,0,0,0,14,5000000,51,10,4800,5000000,6e-07,2000000,1,0
17,82,29,53,22.26,20,5,15,19.75,0,0,0,0,14,5000000,51,10,4800,5000000,6e-07,2000000,1,0
18,89,31,58,21.99,23,6,17,20.61,0,0,0,0,14,5000000,51,10,4800,5000000,6e-07,2000000,1,0
19,86,30,56,23.33,22,6,16,20.5,0,0,0,0,14,5000000,51,10,4800,5000000,6e-07,2000000,1,0
20,87,29,58,22.68,22,6,16,20.41,0,0,0,0,14,5000000,51,10,4800,5000000,6e-07,2000000,1,0
